player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-319,1991,12.7,20,8,14,6,0,7,14,50.0,7,115,31,27.0,73,28,14,25,2,0,23,13,33,32,0,Matches
Conor Coady,eng ENG,DF,Wolves,27-359,1993,22.7,16,10,12,4,0,8,24,33.3,16,110,37,33.6,85,25,0,36,24,0,12,17,33,89,1,Matches
Séamus Coleman,ie IRL,DF,Everton,32-130,1988,8.8,20,14,13,6,1,10,21,47.6,11,107,28,26.2,68,26,13,15,3,0,12,6,26,22,0,Matches
Aaron Connolly,ie IRL,FW,Brighton,21-021,2000,7.4,5,4,1,3,1,1,5,20.0,4,101,31,30.7,5,48,48,7,1,0,6,0,5,0,0,Matches
Liam Cooper,sco SCO,DF,Leeds United,29-172,1991,16.8,54,37,35,19,0,27,45,60.0,18,202,89,44.1,123,72,7,31,21,0,10,30,84,82,1,Matches
Jack Cork,eng ENG,MF,Burnley,31-238,1989,5.3,8,5,1,6,1,4,6,66.7,2,62,20,32.3,16,33,13,7,2,0,5,4,12,7,0,Matches
Hélder Costa,pt POR,MF,Leeds United,27-037,1994,8.2,17,9,9,3,5,5,17,29.4,12,157,47,29.9,58,49,50,14,0,0,14,3,20,4,0,Matches
Vladimír Coufal,cz CZE,DF,West Ham,28-180,1992,19.9,55,31,42,12,1,30,59,50.8,29,258,66,25.6,134,86,38,48,2,0,46,15,70,80,1,Matches
Aaron Cresswell,eng ENG,DF,West Ham,31-065,1989,24.0,22,10,13,7,2,10,22,45.5,12,145,41,28.3,86,51,8,37,10,0,27,22,44,61,0,Matches
Patrick Cutrone,it ITA,"FW,MF",Wolves,23-046,1998,0.3,0,0,0,0,0,0,0,,0,7,2,28.6,2,1,4,0,0,0,0,0,0,0,0,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-305,1991,22.9,58,39,33,21,4,23,64,35.9,41,341,124,36.4,129,169,43,34,0,0,34,32,90,36,1,Matches
Scott Dann,eng ENG,DF,Crystal Palace,34-004,1987,12.0,10,7,9,1,0,3,11,27.3,8,48,14,29.2,31,16,1,19,12,0,7,6,16,57,1,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-133,1990,24.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,1,2,0,Matches
Ben Davies,wal WAL,DF,Tottenham,27-300,1993,13.6,23,12,11,8,4,8,26,30.8,18,171,37,21.6,84,60,27,21,4,0,17,11,34,67,0,Matches
Tom Davies,eng ENG,"MF,DF",Everton,22-233,1998,8.7,18,17,12,6,0,5,21,23.8,16,134,47,35.1,66,53,15,14,6,0,8,19,37,14,0,Matches
Keinan Davis,eng ENG,FW,Aston Villa,23-005,1998,0.6,0,0,0,0,0,0,0,,0,4,2,50.0,1,1,2,0,0,0,0,0,0,1,0,Matches
Leif Davis,eng ENG,DF,Leeds United,21-037,2000,0.4,0,0,0,0,0,0,2,0.0,2,12,0,0.0,5,6,1,3,1,0,2,2,2,0,0,Matches
Craig Dawson,eng ENG,DF,West Ham,30-288,1990,9.0,8,7,8,0,0,1,5,20.0,4,63,21,33.3,46,17,0,11,7,0,4,13,21,54,0,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,29-235,1991,15.7,28,23,5,14,9,9,36,25.0,27,241,85,35.3,30,105,106,21,2,0,19,9,37,5,0,Matches
Liam Delap,eng ENG,FW,Manchester City,18-010,2003,0.4,0,0,0,0,0,0,0,,0,6,1,16.7,0,5,1,0,0,0,0,0,0,0,0,Matches
Fabian Delph,eng ENG,"MF,DF",Everton,31-089,1989,2.4,3,1,2,1,0,0,1,0.0,1,20,4,20.0,8,12,0,3,0,0,3,4,7,3,0,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,25-309,1995,16.7,26,16,15,9,2,12,31,38.7,19,279,81,29.0,120,123,36,35,8,0,27,10,36,24,0,Matches
Mbaye Diagne,sn SEN,FW,West Brom,29-113,1991,3.2,3,1,2,0,1,0,1,0.0,1,24,7,29.2,8,7,9,0,0,0,0,0,3,4,0,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,21-347,1999,4.9,14,12,7,7,0,5,11,45.5,6,91,36,39.6,28,55,8,7,0,0,7,5,19,6,0,Matches
Grady Diangana,eng ENG,"MF,FW",West Brom,22-305,1998,11.9,29,16,18,5,6,12,29,41.4,17,268,54,20.1,129,84,55,26,1,0,25,13,42,4,0,Matches
Raphael Dias Belloli,br BRA,MF,Leeds United,24-066,1996,15.0,21,11,9,8,4,7,35,20.0,28,232,67,28.9,61,91,80,21,1,0,20,14,35,13,0,Matches
Rúben Dias,pt POR,DF,Manchester City,23-280,1997,20.8,23,16,12,10,1,3,11,27.3,8,112,41,36.6,58,41,13,32,15,0,17,14,37,73,0,Matches
Eric Dier,eng ENG,DF,Tottenham,27-034,1994,20.0,17,10,10,6,1,6,11,54.5,5,106,31,29.2,68,35,3,38,28,0,10,13,30,132,0,Matches
Lucas Digne,fr FRA,"DF,MF",Everton,27-213,1993,14.8,39,21,25,9,5,17,33,51.5,16,210,57,27.1,96,69,45,37,2,0,35,8,47,37,0,Matches
Virgil van Dijk,nl NED,DF,Liverpool,29-225,1991,4.1,4,1,2,2,0,0,0,,0,14,3,21.4,7,7,0,3,2,0,1,0,4,13,1,Matches
Issa Diop,fr FRA,DF,West Ham,24-040,1997,4.3,4,3,1,3,0,0,1,0.0,1,23,7,30.4,9,11,3,5,4,0,1,4,8,18,1,Matches
Moussa Djenepo,ml MLI,MF,Southampton,22-248,1998,9.3,30,15,16,6,8,10,33,30.3,23,227,64,28.2,74,89,64,21,0,0,21,6,36,8,0,Matches
Matt Doherty,ie IRL,DF,Tottenham,29-033,1992,9.1,15,5,5,5,5,8,19,42.1,11,121,23,19.0,49,47,25,24,4,0,20,6,21,26,0,Matches
