,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
66,66,Robbie Brady,ie IRL,MF,Burnley,29-030,1992,15,12,960,10.7,1,1,1,0,0,2,0,0.09,0.09,0.19,0.09,0.19,0.7,0.7,0.9,1.6,0.07,0.08,0.15,0.07,0.15,Matches
67,67,Rhian Brewster,eng ENG,FW,Sheffield Utd,20-318,2000,18,7,738,8.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.1,2.4,0.16,0.13,0.29,0.16,0.29,Matches
68,68,Josh Brownhill,eng ENG,MF,Burnley,25-056,1995,18,18,1575,17.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,0.05,0.03,0.08,0.05,0.08,Matches
69,69,Joe Bryan,eng ENG,"DF,FW",Fulham,27-149,1993,11,5,452,5.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.03,0.03,0.06,0.03,0.06,Matches
70,70,Kean Bryan,eng ENG,DF,Sheffield Utd,24-104,1996,5,4,295,3.3,1,0,1,0,0,0,0,0.31,0.0,0.31,0.31,0.31,0.3,0.3,0.0,0.3,0.09,0.01,0.1,0.09,0.1,Matches
71,71,Oliver Burke,sco SCO,FW,Sheffield Utd,23-312,1997,16,11,904,10.0,1,1,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,2.0,2.0,1.7,3.8,0.2,0.17,0.37,0.2,0.37,Matches
72,72,Dan Burn,eng ENG,DF,Brighton,28-280,1992,15,12,1112,12.4,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.8,0.06,0.01,0.07,0.06,0.07,Matches
73,73,David Button,eng ENG,GK,West Brom,31-352,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
74,74,Oskar Buur,dk DEN,DF,Wolves,22-319,1998,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
75,75,Willy Caballero,ar ARG,GK,Chelsea,39-138,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
76,76,Gary Cahill,eng ENG,DF,Crystal Palace,35-056,1985,9,9,810,9.0,1,0,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.4,0.6,0.03,0.04,0.07,0.03,0.07,Matches
77,77,Tom Cairney,sco SCO,MF,Fulham,30-024,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
78,78,Dominic Calvert-Lewin,eng ENG,FW,Everton,23-334,1997,20,20,1762,19.6,13,0,13,0,0,3,0,0.66,0.0,0.66,0.66,0.66,10.2,10.2,0.9,11.0,0.52,0.04,0.56,0.52,0.56,Matches
79,79,João Cancelo,pt POR,DF,Manchester City,26-262,1994,17,16,1433,15.9,1,2,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,1.1,1.1,2.9,4.1,0.07,0.18,0.25,0.07,0.25,Matches
80,80,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-004,2000,10,0,253,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.7,0.13,0.13,0.26,0.13,0.26,Matches
81,81,Andy Carroll,eng ENG,FW,Newcastle Utd,32-038,1989,13,4,369,4.1,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,1.1,1.1,0.1,1.2,0.28,0.02,0.3,0.28,0.3,Matches
82,82,Matty Cash,eng ENG,DF,Aston Villa,23-190,1997,20,20,1762,19.6,0,2,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,1.7,2.0,0.02,0.09,0.1,0.02,0.1,Matches
