player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-145,1989,12.4,6,0.48,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-319,1991,12.7,7,0.55,5,1,0,1,0,0,1,0.08,1,0,0,0,0,0,0,Matches
Conor Coady,eng ENG,DF,Wolves,27-359,1993,22.7,7,0.31,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Séamus Coleman,ie IRL,DF,Everton,32-130,1988,8.8,13,1.47,10,1,1,0,1,0,3,0.34,2,0,0,0,1,0,0,Matches
Aaron Connolly,ie IRL,FW,Brighton,21-021,2000,7.4,10,1.36,6,0,2,0,2,0,1,0.14,1,0,0,0,0,0,0,Matches
Liam Cooper,sco SCO,DF,Leeds United,29-172,1991,16.8,8,0.48,6,0,0,1,0,1,2,0.12,2,0,0,0,0,0,0,Matches
Jack Cork,eng ENG,MF,Burnley,31-238,1989,5.3,4,0.76,3,0,0,1,0,0,1,0.19,1,0,0,0,0,0,0,Matches
Hélder Costa,pt POR,MF,Leeds United,27-037,1994,8.2,16,1.95,12,0,1,1,2,0,2,0.24,2,0,0,0,0,0,0,Matches
Vladimír Coufal,cz CZE,DF,West Ham,28-180,1992,19.9,41,2.06,32,6,0,1,1,1,4,0.20,4,0,0,0,0,0,0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,31-065,1989,24.0,62,2.58,31,26,1,3,1,0,10,0.42,4,4,0,1,1,0,0,Matches
Patrick Cutrone,it ITA,"FW,MF",Wolves,23-046,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-305,1991,22.9,39,1.70,34,0,1,3,0,1,3,0.13,3,0,0,0,0,0,0,Matches
Scott Dann,eng ENG,DF,Crystal Palace,34-004,1987,12.0,4,0.33,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-133,1990,24.0,3,0.12,1,2,0,0,0,0,1,0.04,1,0,0,0,0,0,0,Matches
Ben Davies,wal WAL,DF,Tottenham,27-300,1993,13.6,17,1.25,12,0,1,0,2,2,4,0.29,2,0,1,0,1,0,0,Matches
Tom Davies,eng ENG,"MF,DF",Everton,22-233,1998,8.7,12,1.39,12,0,0,0,0,0,1,0.12,1,0,0,0,0,0,0,Matches
Keinan Davis,eng ENG,FW,Aston Villa,23-005,1998,0.6,5,8.49,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Leif Davis,eng ENG,DF,Leeds United,21-037,2000,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Craig Dawson,eng ENG,DF,West Ham,30-288,1990,9.0,5,0.56,2,1,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,29-235,1991,15.7,102,6.48,65,18,5,4,4,6,15,0.95,12,0,1,0,1,1,0,Matches
Liam Delap,eng ENG,FW,Manchester City,18-010,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabian Delph,eng ENG,"MF,DF",Everton,31-089,1989,2.4,2,0.84,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,25-309,1995,16.7,28,1.68,24,0,1,3,0,0,2,0.12,0,0,0,2,0,0,0,Matches
Mbaye Diagne,sn SEN,FW,West Brom,29-113,1991,3.2,6,1.85,3,0,0,1,1,1,2,0.62,1,0,0,1,0,0,0,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,21-347,1999,4.9,6,1.22,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Grady Diangana,eng ENG,"MF,FW",West Brom,22-305,1998,11.9,18,1.52,10,1,1,3,2,1,1,0.08,1,0,0,0,0,0,0,Matches
Raphael Dias Belloli,br BRA,MF,Leeds United,24-066,1996,15.0,59,3.94,36,10,4,3,3,3,9,0.60,5,2,0,2,0,0,0,Matches
Rúben Dias,pt POR,DF,Manchester City,23-280,1997,20.8,12,0.58,10,0,0,1,1,0,1,0.05,0,0,0,1,0,0,0,Matches
Eric Dier,eng ENG,DF,Tottenham,27-034,1994,20.0,8,0.40,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Lucas Digne,fr FRA,"DF,MF",Everton,27-213,1993,14.8,30,2.03,20,8,0,2,0,0,10,0.68,6,2,0,2,0,0,0,Matches
Virgil van Dijk,nl NED,DF,Liverpool,29-225,1991,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Issa Diop,fr FRA,DF,West Ham,24-040,1997,4.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Moussa Djenepo,ml MLI,MF,Southampton,22-248,1998,9.3,25,2.70,13,0,9,0,3,0,4,0.43,1,0,2,0,1,0,0,Matches
Matt Doherty,ie IRL,DF,Tottenham,29-033,1992,9.1,16,1.76,12,1,1,0,2,0,1,0.11,1,0,0,0,0,0,0,Matches
Gabriel Dos Santos,br BRA,DF,Arsenal,23-061,1997,14.2,7,0.49,4,1,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Abdoulaye Doucouré,fr FRA,MF,Everton,28-048,1993,21.0,30,1.43,28,0,1,0,0,1,4,0.19,4,0,0,0,0,0,0,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,29-145,1991,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lewis Dunk,eng ENG,DF,Brighton,29-089,1991,21.0,12,0.57,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jimmy Dunne,ie IRL,DF,Burnley,23-122,1997,2.0,3,1.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ederson,br BRA,GK,Manchester City,27-185,1993,23.0,3,0.13,2,1,0,0,0,0,1,0.04,1,0,0,0,0,0,0,Matches
Kyle Edwards,eng ENG,"MF,FW",West Brom,23-001,1998,1.3,1,0.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
John Egan,ie IRL,DF,Sheffield Utd,28-121,1992,21.1,10,0.47,9,0,0,0,0,1,1,0.05,1,0,0,0,0,0,0,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-162,1987,1.8,11,6.07,8,1,0,1,0,1,1,0.55,0,1,0,0,0,0,0,Matches
Mohamed Elneny,eg EGY,MF,Arsenal,28-222,1992,10.3,13,1.27,10,0,1,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Jonny Evans,nir NIR,DF,Leicester City,33-046,1988,19.7,9,0.46,9,0,0,0,0,0,2,0.10,2,0,0,0,0,0,0,Matches
Eberechi Eze,eng ENG,MF,Crystal Palace,22-234,1998,17.7,52,2.94,33,9,4,1,5,0,5,0.28,0,2,2,0,1,0,0,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-306,1985,23.0,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabinho,br BRA,"DF,MF",Liverpool,27-118,1993,17.4,11,0.63,9,0,0,0,1,1,2,0.12,1,0,0,0,1,0,0,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,26-163,1994,22.4,115,5.14,81,16,2,6,7,3,21,0.94,17,2,0,2,0,0,0,Matches
Federico Fernández,ar ARG,DF,Newcastle Utd,31-363,1989,15.3,7,0.46,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fernandinho,br BRA,MF,Manchester City,35-290,1985,5.8,7,1.21,5,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Sam Field,eng ENG,MF,West Brom,22-286,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Roberto Firmino,br BRA,FW,Liverpool,29-139,1991,20.8,65,3.12,47,0,7,7,3,1,6,0.29,6,0,0,0,0,0,0,Matches
John Fleck,sco SCO,MF,Sheffield Utd,29-178,1991,14.7,42,2.85,29,8,2,2,0,1,3,0.20,2,1,0,0,0,0,0,Matches
Phil Foden,eng ENG,"FW,MF",Manchester City,20-266,2000,13.4,46,3.44,30,4,9,2,0,1,9,0.67,6,0,1,2,0,0,0,Matches
