player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Willy Boly,ci CIV,DF,Wolves,30-015,1991,16.0,620,748,82.9,12418,4211,196,222,88.3,323,358,90.2,94,152,61.8,1,0.4,+0.6,2,40,1,0,33,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-060,1996,19.6,361,539,67.0,7404,1612,147,199,73.9,141,180,78.3,68,134,50.7,3,1.9,+1.1,19,17,16,5,30,Matches
Robbie Brady,ie IRL,MF,Burnley,29-035,1992,11.2,258,379,68.1,4555,1593,130,158,82.3,85,121,70.2,33,76,43.4,1,0.9,+0.1,7,23,6,4,31,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-323,2000,8.2,112,151,74.2,1796,408,66,79,83.5,31,38,81.6,12,23,52.2,0,1.1,-1.1,4,8,2,0,10,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-061,1995,17.8,569,705,80.7,9117,1844,292,333,87.7,201,246,81.7,49,82,59.8,0,0.6,-0.6,10,37,5,0,26,Matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-154,1993,5.0,187,272,68.8,3414,1618,94,112,83.9,67,84,79.8,25,63,39.7,0,0.2,-0.2,3,13,3,2,17,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-109,1996,3.3,78,116,67.2,1434,728,35,40,87.5,30,41,73.2,11,31,35.5,0,0.0,0.0,1,3,1,0,3,Matches
Oliver Burke,sco SCO,FW,Sheffield Utd,23-317,1997,10.0,121,172,70.3,1604,185,72,92,78.3,33,44,75.0,4,7,57.1,1,1.7,-0.7,12,4,5,1,6,Matches
Dan Burn,eng ENG,DF,Brighton,28-285,1992,13.4,548,729,75.2,9800,3010,225,284,79.2,277,330,83.9,42,94,44.7,0,0.2,-0.2,3,37,6,2,46,Matches
David Button,eng ENG,GK,West Brom,31-357,1989,1.0,16,37,43.2,687,484,2,2,100.0,2,2,100.0,12,33,36.4,0,0.0,0.0,0,0,0,0,0,Matches
Oskar Buur,dk DEN,DF,Wolves,22-324,1998,0.2,14,15,93.3,201,47,9,9,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-143,1981,1.0,24,26,92.3,496,302,8,8,100.0,13,13,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,35-061,1985,9.0,296,346,85.5,6436,2219,89,105,84.8,157,169,92.9,48,68,70.6,0,0.4,-0.4,3,22,1,0,18,Matches
Tom Cairney,sco SCO,MF,Fulham,30-029,1991,8.4,551,621,88.7,11165,2009,214,227,94.3,227,247,91.9,100,128,78.1,1,1.4,-0.4,20,61,10,5,32,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-339,1997,19.6,301,420,71.7,4578,629,168,213,78.9,92,134,68.7,27,34,79.4,0,0.9,-0.9,11,19,5,0,18,Matches
João Cancelo,pt POR,DF,Manchester City,26-267,1994,17.9,1297,1504,86.2,22999,6601,633,686,92.3,506,573,88.3,143,200,71.5,2,3.4,-1.4,34,113,53,7,129,Matches
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-009,2000,2.8,61,88,69.3,956,384,32,41,78.0,21,28,75.0,6,12,50.0,0,0.4,-0.4,2,6,7,1,16,Matches
Andy Carroll,eng ENG,FW,Newcastle Utd,32-043,1989,4.2,83,131,63.4,1278,378,50,70,71.4,24,42,57.1,6,12,50.0,0,0.1,-0.1,2,9,3,0,10,Matches
Matty Cash,eng ENG,DF,Aston Villa,23-195,1997,20.2,735,984,74.7,14067,4991,315,354,89.0,303,385,78.7,106,217,48.8,2,1.7,+0.3,18,56,17,13,42,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-139,1986,1.0,32,33,97.0,813,519,12,12,100.0,10,10,100.0,10,11,90.9,0,0.0,0.0,0,0,0,0,0,Matches
Timothy Castagne,be BEL,DF,Leicester City,25-075,1995,12.1,527,656,80.3,8357,3130,275,310,88.7,218,264,82.6,30,63,47.6,2,0.7,+1.3,10,31,13,2,40,Matches
Jonny Castro,es ESP,DF,Wolves,26-352,1994,1.3,59,76,77.6,814,235,38,43,88.4,13,15,86.7,5,7,71.4,0,0.0,0.0,1,1,0,0,3,Matches
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-123,1993,16.4,371,508,73.0,5975,1319,204,247,82.6,123,155,79.4,33,69,47.8,0,1.7,-1.7,25,12,15,3,31,Matches
Edinson Cavani,uy URU,FW,Manchester Utd,34-004,1987,9.5,169,217,77.9,2912,421,83,101,82.2,59,74,79.7,21,23,91.3,2,1.6,+0.4,8,8,9,1,13,Matches
Dani Ceballos,es ESP,MF,Arsenal,24-195,1996,12.3,746,867,86.0,14870,3652,270,301,89.7,345,379,91.0,123,162,75.9,2,2.2,-0.2,18,96,16,2,84,Matches
Ben Chilwell,eng ENG,DF,Chelsea,24-059,1996,16.5,1011,1281,78.9,17455,5808,490,537,91.2,398,486,81.9,96,194,49.5,4,1.1,+2.9,16,71,17,6,96,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,23-140,1997,2.5,154,187,82.4,3014,552,59,73,80.8,71,82,86.6,22,28,78.6,0,0.0,0.0,0,13,0,0,8,Matches
