player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Patrick Bamford,eng ENG,FW,Leeds United,27-161,1993,22,"1,874",85,94.6,20.8,22,85,16,0,,0,1.45,34,36,-2,-0.10,-1.79,34.1,35.2,-1.1,-0.05,+0.95,Matches
Phil Bardsley,sco SCO,DF,Burnley,35-230,1985,3,270,90,13.6,3.0,3,90,3,0,,12,0.00,3,8,-5,-1.67,-1.14,3.0,4.0,-1.0,-0.32,+0.38,Matches
Ross Barkley,eng ENG,MF,Aston Villa,27-070,1993,12,916,76,48.5,10.2,12,76,5,0,,0,1.50,20,14,+6,+0.59,+0.04,15.2,14.9,+0.2,+0.02,-0.62,Matches
Ross Barkley,eng ENG,MF,Chelsea,27-070,1993,2,42,21,2.0,0.5,0,,0,2,21,1,1.50,1,0,+1,+2.14,+1.57,0.3,0.9,-0.6,-1.25,-1.92,Matches
Ashley Barnes,eng ENG,FW,Burnley,31-106,1989,16,"1,113",70,56.2,12.4,13,80,3,3,25,1,1.06,7,16,-9,-0.73,-0.10,11.8,17.2,-5.4,-0.44,+0.50,Matches
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-066,1997,22,"1,715",78,82.9,19.1,19,85,13,3,31,1,1.82,30,21,+9,+0.47,-0.80,24.3,22.2,+2.1,+0.11,-1.06,Matches
Kyle Bartley,eng ENG,DF,West Brom,29-267,1991,15,"1,240",83,59.9,13.8,13,90,13,2,35,3,0.53,14,31,-17,-1.23,+0.83,10.8,28.0,-17.2,-1.25,-0.23,Matches
Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-208,1988,23,"1,896",82,91.6,21.1,23,82,14,0,,0,0.48,12,36,-24,-1.14,-2.17,18.3,30.8,-12.5,-0.59,-0.78,Matches
Michy Batshuayi,be BEL,FW,Crystal Palace,27-134,1993,15,641,43,31.0,7.1,6,83,2,9,16,7,1.07,9,11,-2,-0.28,+0.35,8.0,9.5,-1.4,-0.20,+0.55,Matches
Jan Bednarek,pl POL,DF,Southampton,24-307,1996,22,"1,885",86,95.2,20.9,22,86,19,0,,0,1.32,28,31,-3,-0.14,+4.59,21.4,26.3,-4.9,-0.24,+1.51,Matches
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-301,1997,12,310,26,15.0,3.4,2,68,1,10,18,11,2.00,13,9,+4,+1.16,+0.39,9.0,6.2,+2.8,+0.81,+0.43,Matches
Héctor Bellerín,es ESP,DF,Arsenal,25-331,1995,20,"1,730",87,83.6,19.2,20,87,17,0,,2,1.35,20,20,0,0.00,-1.06,23.0,24.5,-1.5,-0.08,-1.34,Matches
Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-187,1995,15,843,56,40.7,9.4,9,78,2,6,23,2,1.80,14,11,+3,+0.32,+0.10,12.2,12.1,+0.1,+0.01,-0.27,Matches
Josh Benson,eng ENG,MF,Burnley,21-070,1999,6,264,44,13.3,2.9,2,82,1,4,25,11,1.17,1,7,-6,-2.05,-1.57,1.9,6.3,-4.5,-1.52,-1.00,Matches
Christian Benteke,be BEL,FW,Crystal Palace,30-072,1990,16,725,45,35.0,8.1,8,79,4,8,12,4,1.06,11,13,-2,-0.25,+0.42,8.7,12.8,-4.1,-0.50,+0.13,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-109,1990,11,641,58,32.4,7.1,7,76,3,4,27,2,1.00,5,9,-4,-0.56,+0.18,7.7,10.3,-2.6,-0.36,+0.43,Matches
Sander Berge,no NOR,MF,Sheffield Utd,22-365,1998,13,"1,016",78,49.1,11.3,12,83,11,1,15,0,0.08,6,19,-13,-1.15,-0.38,11.6,17.9,-6.3,-0.56,-0.06,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-128,1997,16,"1,021",64,51.6,11.3,11,81,2,5,26,1,1.44,16,11,+5,+0.44,-0.40,10.1,17.0,-6.9,-0.61,-1.51,Matches
Adrian Bernabe,es ESP,MF,Manchester City,19-263,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Bernard,br BRA,"FW,MF",Everton,28-158,1992,6,274,46,14.5,3.0,2,77,1,4,30,14,0.50,3,4,-1,-0.33,-0.72,2.1,4.1,-1.9,-0.64,-0.72,Matches
Bernardo,br BRA,"DF,MF",Brighton,25-275,1995,3,206,69,10.0,2.3,2,90,2,1,26,9,0.00,0,3,-3,-1.31,-1.21,1.1,4.7,-3.6,-1.58,-2.01,Matches
Ryan Bertrand,eng ENG,DF,Southampton,31-192,1989,20,"1,788",89,90.3,19.9,20,89,19,0,,0,1.30,26,32,-6,-0.30,+0.64,20.1,25.4,-5.4,-0.27,+0.40,Matches
Yves Bissouma,ml MLI,MF,Brighton,24-167,1996,21,"1,763",84,85.2,19.6,20,87,17,1,29,0,1.19,21,26,-5,-0.26,-0.26,25.2,20.9,+4.3,+0.22,-0.10,Matches
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-201,2000,8,615,77,29.7,6.8,6,90,6,2,38,2,1.25,7,11,-4,-0.59,+0.53,5.4,8.6,-3.2,-0.48,+0.07,Matches
Mateusz Bogusz,pl POL,MF,Leeds United,19-175,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Willy Boly,ci CIV,DF,Wolves,30-010,1991,16,"1,440",90,69.6,16.0,16,90,16,0,,2,1.50,17,21,-4,-0.25,+0.32,15.8,18.7,-2.9,-0.18,-0.30,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-055,1996,23,"1,676",73,81.0,18.6,21,79,2,2,10,0,1.70,25,22,+3,+0.16,-0.52,24.7,19.6,+5.1,+0.28,+0.54,Matches
Robbie Brady,ie IRL,MF,Burnley,29-030,1992,15,960,64,48.5,10.7,12,75,4,3,19,2,1.47,7,5,+2,+0.19,+1.69,6.9,13.7,-6.8,-0.64,+0.03,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,18-231,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Rhian Brewster,eng ENG,FW,Sheffield Utd,20-318,2000,18,738,41,35.7,8.2,7,69,2,11,23,1,0.44,5,10,-5,-0.61,+0.54,8.7,11.6,-2.9,-0.36,+0.27,Matches
Josh Brownhill,eng ENG,MF,Burnley,25-056,1995,18,"1,575",88,79.5,17.5,18,88,17,0,,0,1.22,10,18,-8,-0.46,+1.10,15.8,25.1,-9.2,-0.53,+0.62,Matches
Zak Brunt,eng ENG,MF,Sheffield Utd,19-088,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Joe Bryan,eng ENG,"DF,FW",Fulham,27-149,1993,11,452,41,22.8,5.0,5,85,4,6,4,9,0.82,4,13,-9,-1.79,-1.50,4.2,8.5,-4.3,-0.86,-0.68,Matches
Kean Bryan,eng ENG,DF,Sheffield Utd,24-104,1996,5,295,59,14.3,3.3,4,68,1,1,24,5,0.60,3,5,-2,-0.61,+0.40,2.6,5.7,-3.1,-0.93,-0.47,Matches
Hugo Bueno,es ESP,DF,Wolves,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
