player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Anthony Gordon,eng ENG,"FW,MF",Everton,19-355,2001,1.0,0,0,0,0,2,1,1,1,2,0,0,0,9,1,2,33.3,Matches
Karlan Grant,eng ENG,"FW,MF",West Brom,23-148,1997,12.0,1,0,0,9,12,7,9,9,3,0,0,0,50,11,60,15.5,Matches
Demarai Gray,eng ENG,FW,Leicester City,24-230,1996,0.2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,,Matches
Jack Grealish,eng ENG,"FW,MF",Aston Villa,25-156,1995,21.0,5,0,0,36,95,7,52,11,14,2,0,0,178,23,33,41.1,Matches
Mason Greenwood,eng ENG,FW,Manchester Utd,19-135,2001,10.8,1,0,0,8,8,1,15,7,10,0,0,0,46,2,9,18.2,Matches
Pascal Groß,de GER,MF,Brighton,29-243,1991,13.0,1,0,0,12,10,3,47,9,16,0,0,0,109,11,21,34.4,Matches
Kamil Grosicki,pl POL,"FW,MF",West Brom,32-250,1988,1.6,0,0,0,1,0,0,3,0,0,0,0,0,14,0,1,0.0,Matches
Vicente Guaita,es ESP,GK,Crystal Palace,34-034,1987,23.0,2,0,0,0,2,0,0,0,0,0,0,0,99,0,1,0.0,Matches
İlkay Gündoğan,de GER,MF,Manchester City,30-112,1990,14.5,0,0,0,7,12,1,9,11,11,0,0,0,114,8,11,42.1,Matches
Antwoine Hackford,eng ENG,"DF,FW",Sheffield Utd,16-330,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Sébastien Haller,ci CIV,FW,West Ham,26-236,1994,10.4,0,0,0,24,15,11,4,5,4,0,0,0,36,61,78,43.9,Matches
Rekeem Harper,eng ENG,MF,West Brom,20-342,2000,0.4,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,,Matches
Jack Harrison,eng ENG,MF,Leeds United,24-085,1996,19.5,2,0,0,14,16,8,64,14,23,0,0,0,132,24,29,45.3,Matches
Kortney Hause,eng ENG,DF,Aston Villa,25-212,1995,4.0,1,0,0,2,1,0,2,3,4,0,0,0,49,33,9,78.6,Matches
Kai Havertz,de GER,"MF,FW",Chelsea,21-247,1999,10.9,2,0,0,19,11,2,11,7,10,1,0,0,75,15,22,40.5,Matches
Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25-328,1995,16.1,6,0,0,33,13,0,6,29,23,0,0,0,175,43,30,58.9,Matches
Michael Hector,jm JAM,DF,Fulham,28-209,1992,2.9,2,0,0,5,3,0,0,0,5,0,0,0,25,5,3,62.5,Matches
