player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Emmanuel Dennis,ng NGA,FW,Köln,23-090,1997,1.5,24,35,68.6,341,44,17,20,85.0,6,13,46.2,1,1,100.0,0,0.1,-0.1,1,1,1,1,0,Matches
Mike van der Hoorn,nl NED,DF,Arminia,28-121,1992,13.9,684,784,87.2,16557,4558,133,148,89.9,388,414,93.7,158,214,73.8,0,0.1,-0.1,2,23,3,0,28,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21-221,1999,18.6,488,652,74.8,8515,1653,239,279,85.7,190,229,83.0,49,98,50.0,6,5.1,+0.9,32,19,30,16,45,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,7.7,225,305,73.8,4022,1476,98,117,83.8,93,116,80.2,27,53,50.9,3,2.3,+0.7,22,33,18,5,42,Matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,22-236,1998,3.0,81,108,75.0,1534,286,40,52,76.9,26,32,81.3,13,18,72.2,1,0.3,+0.7,3,5,3,0,9,Matches
Eren Dinkçi,de GER,FW,Werder Bremen,19-062,2001,0.1,1,1,100.0,15,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22-242,1998,17.9,367,571,64.3,6618,2456,181,218,83.0,124,178,69.7,50,141,35.5,2,1.9,+0.1,27,31,20,5,48,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29-261,1991,0.7,15,27,55.6,172,78,11,15,73.3,3,8,37.5,0,1,0.0,0,0.0,0.0,1,3,0,0,2,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31-258,1989,9.1,203,312,65.1,2941,701,119,168,70.8,63,94,67.0,13,28,46.4,2,2.3,-0.3,11,24,6,0,28,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29-344,1991,8.1,693,791,87.6,14815,4471,232,255,91.0,321,356,90.2,134,167,80.2,0,0.4,-0.4,5,69,3,0,57,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,8.4,243,317,76.7,3888,843,125,151,82.8,95,114,83.3,15,30,50.0,1,0.7,+0.3,6,11,10,2,25,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,16.7,502,736,68.2,9689,2730,220,264,83.3,168,242,69.4,93,178,52.2,3,2.3,+0.7,28,56,14,6,60,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,10.1,304,448,67.9,5955,2547,120,146,82.2,138,200,69.0,41,86,47.7,1,1.7,-0.7,8,22,10,6,32,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,0.4,11,17,64.7,155,26,7,8,87.5,4,7,57.1,0,2,0.0,0,0.0,0.0,1,1,0,0,2,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19.0,585,757,77.3,10330,3315,264,328,80.5,250,308,81.2,64,91,70.3,2,0.9,+1.1,8,79,11,0,87,Matches
Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,0.2,4,4,100.0,58,3,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,6.8,217,311,69.8,4268,1770,76,98,77.6,109,147,74.1,29,52,55.8,1,0.6,+0.4,6,8,8,6,21,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,16.5,1005,1088,92.4,21376,5131,290,315,92.1,528,548,96.4,178,204,87.3,0,0.0,0.0,0,20,2,1,39,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,11.4,222,306,72.5,3019,369,142,172,82.6,57,77,74.0,11,20,55.0,0,0.5,-0.5,7,6,5,0,9,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,1.3,14,23,60.9,241,91,6,12,50.0,7,9,77.8,1,2,50.0,0,0.0,0.0,1,1,0,0,3,Matches
Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20.0,910,1098,82.9,16807,5721,375,424,88.4,418,485,86.2,102,148,68.9,1,1.7,-0.7,16,83,16,2,117,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,0.2,18,27,66.7,358,69,9,12,75.0,6,8,75.0,3,6,50.0,0,0.0,0.0,0,1,0,0,0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,334,493,67.7,9615,5276,62,62,100.0,143,146,97.9,126,282,44.7,0,0.0,0.0,0,3,0,0,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20.0,898,1064,84.4,18917,5920,273,306,89.2,466,516,90.3,153,219,69.9,0,0.0,0.0,2,45,1,0,61,Matches
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,8.6,238,328,72.6,4480,1592,97,117,82.9,109,132,82.6,27,64,42.2,0,0.8,-0.8,8,10,5,3,19,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,4.6,85,140,60.7,1614,383,34,54,63.0,32,52,61.5,14,19,73.7,1,1.0,0.0,8,11,3,1,15,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,10.4,272,352,77.3,4293,924,156,186,83.9,80,97,82.5,26,45,57.8,3,3.1,-0.1,16,20,13,0,27,Matches
Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,5.7,168,226,74.3,2659,842,89,112,79.5,61,76,80.3,12,24,50.0,0,1.0,-1.0,7,11,13,2,30,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,2.1,119,140,85.0,2340,757,45,47,95.7,54,61,88.5,19,29,65.5,0,0.1,-0.1,2,9,3,1,10,Matches
Raphael Framberger,de GER,DF,Augsburg,25-160,1995,9.1,268,405,66.2,4590,2408,142,177,80.2,101,145,69.7,23,63,36.5,1,1.3,-0.3,6,15,9,5,29,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19.0,878,1067,82.3,21085,7487,225,246,91.5,431,473,91.1,214,326,65.6,0,0.3,-0.3,5,78,5,2,68,Matches
Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20.0,859,1070,80.3,19928,7617,228,258,88.4,410,445,92.1,211,337,62.6,0,0.4,-0.4,4,84,7,2,82,Matches
Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,0.2,8,11,72.7,122,27,6,6,100.0,2,3,66.7,0,1,0.0,0,0.3,-0.3,1,0,2,0,2,Matches
