player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26-228,1994,2.0,86,2,18,33,38,9,84,6,9,66.7,6,2,52,182,100,5,2,0,2,3,84,59,70.2,13,Matches
Tahith Chong,nl NED,"FW,MF",Werder Bremen,21-071,1999,4.3,214,5,34,102,99,14,210,11,20,55.0,12,0,172,883,464,16,7,3,12,16,211,136,64.5,25,Matches
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20-217,2000,0.7,43,1,8,20,18,1,43,2,2,100.0,2,0,38,241,121,7,1,0,2,2,40,31,77.5,5,Matches
Tim Civeja,de GER,"MF,DF",Augsburg,19-040,2002,0.4,27,1,10,15,2,0,27,0,0,,0,0,12,47,18,1,0,0,0,0,14,12,85.7,0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24-245,1996,11.4,645,3,53,211,419,82,639,35,55,63.6,39,2,523,3009,1762,108,20,28,24,30,680,515,75.7,119,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27-278,1993,10.0,308,6,19,153,159,59,287,9,12,75.0,9,0,202,973,401,22,9,9,17,21,449,231,51.4,78,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,23-188,1997,9.9,342,13,43,177,153,27,338,8,25,32.0,12,0,214,973,453,20,12,2,18,25,385,221,57.4,70,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27-215,1993,1.2,69,5,16,22,31,4,64,1,2,50.0,1,0,42,203,123,8,0,2,4,1,50,43,86.0,5,Matches
Danny da Costa,de GER,DF,Mainz 05,27-215,1993,3.0,129,5,39,52,45,3,97,8,9,88.9,8,1,63,326,157,9,3,1,2,3,65,48,73.8,0,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,30-152,1990,3.6,227,1,18,105,125,20,205,12,15,80.0,13,1,178,918,612,36,7,2,7,11,212,165,77.8,26,Matches
