player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Dedryck Boyata,be BEL,DF,Hertha BSC,30-077,1990,12.8,15,7,8,6,1,4,10,40.0,6,64,20,31.3,40,24,0,29,18,1,11,12,27,56,2,Matches
Can Bozdogan,de GER,MF,Schalke 04,19-314,2001,4.5,15,9,5,8,2,4,12,33.3,8,135,39,28.9,48,63,24,8,1,0,7,3,18,2,0,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24-287,1996,10.9,20,12,12,6,2,13,27,48.1,14,158,61,38.6,35,75,48,15,0,0,15,13,33,4,0,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22-235,1998,13.4,15,9,9,5,1,5,14,35.7,9,195,66,33.8,55,86,54,12,0,0,12,9,24,2,0,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26-330,1994,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
John Brooks,us USA,DF,Wolfsburg,28-016,1993,18.2,29,19,22,7,0,13,37,35.1,24,141,53,37.6,86,51,4,37,9,0,28,24,53,105,1,Matches
Daniel Brosinski,de GER,DF,Mainz 05,32-211,1988,11.2,15,5,7,7,1,10,31,32.3,21,102,32,31.4,35,48,19,26,2,0,24,7,22,28,0,Matches
Cédric Brunner,ch SUI,DF,Arminia,26-362,1994,16.1,33,22,20,11,2,18,27,66.7,9,167,53,31.7,86,66,15,41,5,0,36,13,46,60,1,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-147,1998,1.0,0,0,0,0,0,0,1,0.0,1,27,4,14.8,4,9,14,0,0,0,0,0,0,0,0,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27-321,1993,6.7,11,7,5,2,4,2,14,14.3,12,115,34,29.6,31,57,27,12,0,0,12,2,13,7,0,Matches
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20-217,2000,9.5,14,7,7,6,1,8,21,38.1,13,165,42,25.5,29,83,53,14,4,0,10,2,16,11,0,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Caligiuri,it ITA,"MF,DF",Augsburg,33-029,1988,20.3,61,35,25,29,7,25,78,32.1,53,443,118,26.6,150,215,78,52,3,0,49,29,90,26,0,Matches
Emre Can,de GER,"DF,MF",Dortmund,27-032,1994,12.2,42,32,18,18,6,14,25,56.0,11,157,71,45.2,58,74,25,18,4,0,14,20,62,31,0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,1,0,0,1,0,0,3,0,Matches
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33-247,1987,12.8,12,10,3,8,1,4,19,21.1,15,158,56,35.4,26,78,54,18,4,0,14,4,16,7,0,Matches
Sava Cestic,de GER,DF,Köln,19-360,2001,7.3,13,8,11,2,0,3,13,23.1,10,79,24,30.4,60,18,1,14,4,0,10,21,34,49,0,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30-321,1990,0.7,0,0,0,0,0,0,1,0.0,1,12,2,16.7,3,5,4,2,0,0,2,1,1,1,0,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26-228,1994,2.0,5,2,1,2,2,1,3,33.3,2,66,15,22.7,11,33,22,4,1,0,3,4,9,1,0,Matches
Tahith Chong,nl NED,"FW,MF",Werder Bremen,21-071,1999,4.3,12,8,3,7,2,4,7,57.1,3,95,32,33.7,14,59,22,3,0,0,3,3,15,2,0,Matches
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20-217,2000,0.7,1,1,0,1,0,0,2,0.0,2,11,7,63.6,0,4,7,2,0,0,2,1,2,0,0,Matches
Tim Civeja,de GER,"MF,DF",Augsburg,19-040,2002,0.4,0,0,0,0,0,0,1,0.0,1,6,2,33.3,3,3,0,1,0,0,1,1,1,1,0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24-245,1996,11.4,15,10,7,7,1,5,17,29.4,12,184,57,31.0,34,76,74,12,0,0,12,6,21,4,0,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27-278,1993,10.0,4,2,1,1,2,1,4,25.0,3,128,36,28.1,10,57,61,9,2,0,7,6,10,1,0,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,23-188,1997,9.9,16,11,1,9,6,3,13,23.1,10,198,45,22.7,19,111,68,12,2,0,10,4,20,12,0,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27-215,1993,1.2,2,2,2,0,0,0,1,0.0,1,25,6,24.0,9,12,4,4,1,0,3,0,2,4,0,Matches
Danny da Costa,de GER,DF,Mainz 05,27-215,1993,3.0,2,1,0,2,0,0,2,0.0,2,37,8,21.6,12,17,8,2,0,0,2,4,6,12,0,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,30-152,1990,3.6,2,2,1,1,0,0,2,0.0,2,63,15,23.8,5,29,29,8,1,0,7,3,5,0,0,Matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19-361,2001,9.4,19,8,6,6,7,7,18,38.9,11,199,53,26.6,39,80,80,18,0,0,18,5,24,8,0,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,21-181,1999,0.2,0,0,0,0,0,0,0,,0,4,1,25.0,0,1,3,1,0,0,1,0,0,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21-262,1999,16.7,26,21,8,13,5,9,35,25.7,26,315,90,28.6,94,122,99,24,2,0,22,24,50,5,0,Matches
Rafael Czichos,de GER,DF,Köln,30-275,1990,12.7,30,17,18,11,1,7,13,53.8,6,131,50,38.2,73,55,3,26,4,0,22,13,43,75,0,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,28-275,1992,8.5,8,6,3,3,2,3,14,21.4,11,142,45,31.7,17,69,56,8,1,0,7,2,10,5,0,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,25-043,1996,3.3,8,5,4,3,1,2,10,20.0,8,75,22,29.3,15,43,17,7,1,0,6,4,12,1,0,Matches
Leon Dajaku,de GER,FW,Union Berlin,19-307,2001,0.4,1,1,0,1,0,0,0,,0,7,1,14.3,0,7,0,0,0,0,0,0,1,0,0,Matches
Márton Dárdai,de GER,DF,Hertha BSC,19-001,2002,0.2,1,1,1,0,0,1,2,50.0,1,1,0,0.0,1,0,0,0,0,0,0,1,2,0,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,30-189,1990,15.5,28,17,12,13,3,7,29,24.1,22,286,90,31.5,73,152,61,32,2,0,30,17,45,15,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,20-103,2000,8.8,18,12,3,10,5,11,14,78.6,3,95,31,32.6,31,37,27,25,1,0,24,15,33,13,0,Matches
Thomas Delaney,dk DEN,MF,Dortmund,29-163,1991,8.2,30,20,10,15,5,9,18,50.0,9,156,63,40.4,48,91,17,16,5,0,11,16,46,20,1,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27-225,1993,9.7,33,22,12,18,3,13,28,46.4,15,196,75,38.3,46,104,46,11,2,0,9,9,42,3,0,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22-325,1998,8.2,13,9,3,5,5,1,9,11.1,8,186,44,23.7,15,82,89,17,4,0,13,2,15,11,0,Matches
Emmanuel Dennis,ng NGA,FW,Köln,23-090,1997,1.5,2,1,0,0,2,0,2,0.0,2,45,8,17.8,3,19,23,0,0,0,0,0,2,0,0,Matches
Mike van der Hoorn,nl NED,DF,Arminia,28-121,1992,13.9,7,6,2,5,0,1,5,20.0,4,68,26,38.2,44,23,1,21,6,0,15,6,13,90,1,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21-221,1999,18.6,8,5,3,4,1,1,13,7.7,12,193,51,26.4,25,94,74,10,0,0,10,12,20,3,0,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,30-358,1990,7.7,7,3,2,3,2,1,6,16.7,5,129,44,34.1,20,40,69,9,0,0,9,3,10,6,0,Matches
