,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
143,143,Rafał Gikiewicz,pl POL,GK,Augsburg,33-110,1987,21,21,1890,21.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
144,144,Daniel Ginczek,de GER,"FW,MF",Wolfsburg,29-306,1991,6,1,145,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.24,0.08,0.32,0.24,0.32,Matches
145,145,Matthias Ginter,de GER,DF,M'Gladbach,27-025,1994,20,20,1800,20.0,1,1,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,1.3,1.3,1.8,3.1,0.06,0.09,0.15,0.06,0.15,Matches
146,146,Robert Glatzel,de GER,FW,Mainz 05,27-036,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,4.46,0.0,4.46,4.46,4.46,Matches
147,147,Serge Gnabry,de GER,"FW,MF",Bayern Munich,25-214,1995,18,16,1235,13.7,5,0,5,0,0,4,0,0.36,0.0,0.36,0.36,0.36,5.3,5.3,2.9,8.2,0.39,0.21,0.6,0.39,0.6,Matches
148,148,Akaki Gogia,de GER,FW,Union Berlin,29-026,1992,7,0,140,1.6,0,1,0,0,0,1,0,0.0,0.64,0.64,0.0,0.64,0.1,0.1,0.4,0.6,0.09,0.28,0.37,0.09,0.37,Matches
149,149,Nicolás González,ar ARG,"FW,DF",Stuttgart,22-313,1998,14,10,889,9.9,6,2,3,3,4,5,0,0.61,0.2,0.81,0.3,0.51,8.1,5.2,1.8,7.0,0.82,0.18,1.01,0.52,0.71,Matches
150,150,Leon Goretzka,de GER,MF,Bayern Munich,26-007,1995,15,12,1146,12.7,2,2,2,0,0,1,0,0.16,0.16,0.31,0.16,0.31,2.8,2.8,0.9,3.7,0.22,0.07,0.29,0.22,0.29,Matches
151,151,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,29-218,1991,20,20,1800,20.0,1,0,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05,0.2,0.2,0.1,0.4,0.01,0.01,0.02,0.01,0.02,Matches
152,152,Demarai Gray,eng ENG,FW,Leverkusen,24-230,1996,1,0,17,0.2,1,0,1,0,0,0,0,5.29,0.0,5.29,5.29,5.29,0.3,0.3,0.0,0.3,1.52,0.0,1.52,1.52,1.52,Matches
153,153,Michael Gregoritsch,at AUT,"FW,MF",Augsburg,26-301,1994,17,9,754,8.4,1,2,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,1.0,1.0,0.9,1.9,0.12,0.11,0.23,0.12,0.23,Matches
