player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Dominick Drexler,de GER,"MF,FW",Köln,30-263,1990,8.4,2,7,2,28.6,0.84,0.24,0.29,1.00,12.8,0,0,0,1.9,1.9,0.28,+0.1,+0.1,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,26-070,1994,16.7,2,25,9,36.0,1.49,0.54,0.08,0.22,22.2,2,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28-277,1992,10.1,0,13,3,23.1,1.29,0.30,0.00,0.00,19.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22-281,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,24-067,1996,19.0,2,16,5,31.3,0.84,0.26,0.13,0.40,23.9,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
Lilian Egloff,de GER,MF,Stuttgart,18-177,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25-264,1995,6.8,0,4,1,25.0,0.58,0.15,0.00,0.00,22.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,16.5,3,8,4,50.0,0.48,0.24,0.38,0.75,8.8,0,0,0,1.6,1.6,0.20,+1.4,+1.4,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,11.4,3,34,14,41.2,2.98,1.23,0.09,0.21,12.7,0,0,0,5.7,5.7,0.18,-2.7,-2.7,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,1.3,1,4,3,75.0,3.16,2.37,0.25,0.33,18.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20.0,0,16,8,50.0,0.80,0.40,0.00,0.00,21.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
