player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Sasa Kalajdzic,at AUT,FW,Stuttgart,23-221,1997,10.5,31,2.96,19,0,2,3,6,1,6,0.57,3,0,1,0,2,0,0,Matches
Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,24-192,1996,15.1,66,4.38,38,20,2,1,4,1,14,0.93,9,2,0,1,2,0,0,Matches
Marcin Kamiński,pl POL,DF,Stuttgart,29-029,1992,1.4,3,2.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,30-127,1990,14.2,31,2.18,30,0,1,0,0,0,4,0.28,4,0,0,0,0,0,0,Matches
Atakan Karazor,de GER,DF,Stuttgart,24-123,1996,4.3,2,0.46,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Loris Karius,de GER,GK,Union Berlin,27-236,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Noah Katterbach,de GER,DF,Köln,19-306,2001,6.4,9,1.41,6,0,0,1,2,0,1,0.16,0,0,0,0,1,0,0,Matches
Yannik Keitel,de GER,MF,Freiburg,20-364,2000,0.8,1,1.27,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marc-Oliver Kempf,de GER,DF,Stuttgart,26-016,1995,18.7,20,1.07,18,2,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Rani Khedira,de GER,MF,Augsburg,27-017,1994,11.3,6,0.53,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sami Khedira,de GER,MF,Hertha BSC,33-315,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Luca Kilian,de GER,DF,Mainz 05,21-165,1999,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Joshua Kimmich,de GER,MF,Bayern Munich,26-005,1995,12.2,56,4.59,38,17,0,0,1,0,13,1.07,9,4,0,0,0,0,0,Matches
Davy Klaassen,nl NED,MF,Werder Bremen,27-358,1993,2.5,3,1.22,2,0,0,1,0,0,1,0.41,1,0,0,0,0,0,0,Matches
Felix Klaus,de GER,"DF,MF",Wolfsburg,28-153,1992,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
