player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Ruben Vargas,ch SUI,"MF,FW",Augsburg,22-192,1998,19,"1,077",57,57.0,12.0,11,78,3,8,27,0,0.84,10,20,-10,-0.84,-0.50,9.3,19.6,-10.3,-0.86,-0.11,Matches
Miloš Veljković,rs SRB,DF,Werder Bremen,25-140,1995,12,946,79,55.3,10.5,10,90,10,2,23,3,1.67,16,8,+8,+0.76,+2.06,10.9,10.9,0.0,0.00,+0.78,Matches
Andreas Voglsammer,de GER,MF,Arminia,29-035,1992,3,50,17,2.9,0.6,0,,0,3,17,0,1.00,1,1,0,0.00,+0.92,0.6,2.1,-1.4,-2.60,-1.76,Matches
Kevin Vogt,de GER,DF,Hoffenheim,29-143,1991,17,"1,397",82,77.6,15.5,16,85,14,1,33,1,1.00,20,30,-10,-0.64,-1.31,24.6,27.2,-2.5,-0.16,-0.15,Matches
Silas Wamangituka,cd COD,"DF,FW",Stuttgart,21-130,1999,19,"1,472",77,81.8,16.4,18,81,8,1,16,0,1.32,31,28,+3,+0.18,+0.18,33.0,26.8,+6.2,+0.38,+0.15,Matches
Wout Weghorst,nl NED,FW,Wolfsburg,28-190,1992,20,"1,704",85,94.7,18.9,19,89,14,1,14,0,1.90,30,18,+12,+0.63,-0.30,29.9,22.6,+7.3,+0.39,+0.79,Matches
Mitchell Weiser,de GER,DF,Leverkusen,26-298,1994,5,226,45,12.6,2.5,2,79,1,3,23,6,2.40,7,3,+4,+1.59,+0.91,3.9,1.7,+2.2,+0.87,+0.63,Matches
Wendell,br BRA,DF,Leverkusen,27-208,1993,8,442,55,24.6,4.9,4,82,3,4,28,11,1.75,10,5,+5,+1.02,+0.29,7.0,6.7,+0.4,+0.07,-0.32,Matches
Oscar Wendt,se SWE,DF,M'Gladbach,35-112,1985,14,945,68,52.5,10.5,11,80,4,3,23,6,1.71,15,15,0,0.00,-0.63,16.5,13.4,+3.1,+0.29,-0.22,Matches
Jetro Willems,nl NED,"DF,MF",Eint Frankfurt,26-320,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
William,br BRA,FW,Wolfsburg,25-316,1995,2,2,1,0.1,0.0,0,,0,2,1,3,2.00,0,0,0,0.00,-0.65,0.0,0.0,0.0,0.00,-0.34,Matches
William,br BRA,"DF,FW",Schalke 04,25-316,1995,2,111,56,6.2,1.2,1,90,1,1,21,0,0.50,0,4,-4,-3.24,-1.48,0.2,2.5,-2.3,-1.85,-0.54,Matches
Florian Wirtz,de GER,MF,Leverkusen,17-286,2003,17,"1,409",83,78.3,15.7,16,86,12,1,28,0,1.82,33,18,+15,+0.96,+0.73,23.5,18.7,+4.8,+0.31,-0.04,Matches
Axel Witsel,be BEL,MF,Dortmund,32-032,1989,15,"1,130",75,62.8,12.6,13,85,11,2,15,0,1.87,24,18,+6,+0.48,-0.06,25.5,14.7,+10.8,+0.86,-0.33,Matches
Hannes Wolf,at AUT,"FW,MF",M'Gladbach,21-303,1999,20,865,43,48.1,9.6,9,73,2,11,19,0,1.60,15,20,-5,-0.52,-1.58,11.9,12.7,-0.8,-0.08,-0.92,Matches
Marius Wolf,de GER,"DF,FW",Dortmund,25-262,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Marius Wolf,de GER,"DF,MF",Köln,25-262,1995,17,"1,463",86,81.3,16.3,16,89,13,1,45,0,1.06,16,26,-10,-0.62,+0.19,16.0,28.2,-12.2,-0.75,-0.49,Matches
Nick Woltemade,de GER,"MF,FW",Werder Bremen,18-365,2002,6,147,25,8.6,1.6,1,45,0,5,20,7,0.17,3,5,-2,-1.22,-1.17,2.9,5.2,-2.3,-1.42,-1.17,Matches
Jeong Woo-yeong,kr KOR,"FW,MF",Freiburg,21-146,1999,15,511,34,28.4,5.7,4,74,0,11,20,5,1.67,12,9,+3,+0.53,+0.60,8.2,10.0,-1.8,-0.32,-0.28,Matches
Joscha Wosz,de GER,"DF,FW",RB Leipzig,18-208,2002,2,34,17,1.8,0.4,0,,0,2,17,8,3.00,0,0,0,0.00,-0.92,0.8,0.2,+0.6,+1.64,+0.66,Matches
Reinhold Yabo,de GER,"MF,FW",Arminia,29-003,1992,13,647,50,37.8,7.2,8,66,0,5,24,2,0.77,7,12,-5,-0.70,+0.32,6.2,10.2,-4.1,-0.56,+0.51,Matches
Amin Younes,de GER,"FW,MF",Eint Frankfurt,27-191,1993,14,804,57,44.7,8.9,9,73,0,5,29,0,1.86,22,10,+12,+1.34,+1.34,17.0,9.6,+7.4,+0.83,+0.77,Matches
Dan-Axel Zagadou,fr FRA,DF,Dortmund,21-255,1999,6,168,28,9.3,1.9,2,67,1,4,9,1,1.83,3,3,0,0.00,-0.55,4.3,2.3,+2.0,+1.07,+0.10,Matches
Denis Zakaria,ch SUI,"MF,DF",M'Gladbach,24-085,1996,13,673,52,37.4,7.5,8,73,2,5,17,0,1.62,19,12,+7,+0.94,+1.02,11.8,9.7,+2.1,+0.28,-0.18,Matches
Deyovaisio Zeefuik,nl NED,"DF,MF",Hertha BSC,22-339,1998,12,352,29,19.6,3.9,2,69,0,10,21,5,0.83,3,7,-4,-1.02,-0.59,4.9,7.6,-2.7,-0.70,-0.55,Matches
Robin Zentner,de GER,GK,Mainz 05,26-108,1994,19,"1,710",90,95.0,19.0,19,90,19,0,,0,0.68,17,35,-18,-0.95,+2.05,23.8,30.0,-6.2,-0.33,+1.64,Matches
Ron-Robert Zieler,de GER,GK,Köln,32-001,1989,1,51,51,2.8,0.6,0,,0,1,51,19,1.00,1,1,0,0.00,+0.67,0.3,1.3,-1.0,-1.75,-1.12,Matches
Joshua Zirkzee,nl NED,FW,Bayern Munich,19-267,2001,3,92,31,5.1,1.0,1,56,0,2,18,2,2.00,1,3,-2,-1.96,-3.75,0.8,2.8,-1.9,-1.91,-2.87,Matches
Steven Zuber,ch SUI,DF,Eint Frankfurt,29-180,1991,10,458,46,25.4,5.1,5,61,0,5,31,9,1.90,8,9,-1,-0.20,-1.07,8.6,6.7,+1.9,+0.38,-0.03,Matches
