player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,29,3.69,18,0,4,0,7,0,4,0.51,3,0,0,0,1,0,0,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,1,0.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,27,1.42,20,4,0,1,2,0,4,0.21,3,1,0,0,0,0,0,Matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,5,0.91,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,1,2.90,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,35,2.83,26,1,4,2,2,0,10,0.81,8,0,1,0,1,0,0,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,4,0.54,3,0,0,0,1,0,1,0.13,0,0,0,0,1,0,0,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,17,1.51,14,0,0,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,9,3.89,7,0,0,1,1,0,3,1.30,2,0,0,0,1,0,0,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,3,1.46,3,0,0,0,0,0,1,0.49,1,0,0,0,0,0,0,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,24,3.30,18,1,1,1,3,0,4,0.55,4,0,0,0,0,0,0,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,5,0.34,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,29,2.27,23,0,2,1,3,0,5,0.39,5,0,0,0,0,0,0,Matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,45,2.07,32,2,2,0,8,1,2,0.09,1,0,1,0,0,0,0,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,40,4.02,27,6,3,3,1,0,6,0.60,4,0,1,1,0,0,0,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,24,2.13,22,1,1,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,14,1.63,10,0,0,1,3,0,3,0.35,1,0,0,1,1,0,0,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,2,10.00,1,0,0,1,0,0,1,5.00,0,0,0,1,0,0,0,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,4,0.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,3,2.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,17,1.23,14,0,1,0,0,2,1,0.07,1,0,0,0,0,0,0,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,6,0.33,4,0,0,0,2,0,2,0.11,1,0,0,0,1,0,0,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,7,0.32,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,4,1.07,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,6,0.35,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,6,0.55,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,34,1.78,22,11,0,1,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,7,0.60,6,0,0,1,0,0,2,0.17,1,0,0,1,0,0,0,Matches
