player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,822,745,77,12,0,153,26,53,9,3,0,0,484,160,178,508,159,54,56,9,589,2,17,10,48,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,3,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,574,546,28,6,3,74,13,31,15,5,3,0,468,57,49,299,257,4,7,5,467,1,11,14,24,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,701,617,84,3,0,53,1,26,0,0,0,0,551,104,46,87,515,16,81,0,619,2,1,8,25,Matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,265,260,5,0,3,77,13,12,0,0,0,0,77,71,117,160,14,43,0,2,130,2,12,8,14,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,10,10,0,0,0,2,1,2,0,0,0,0,6,1,3,10,0,0,0,0,5,0,1,0,2,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,571,545,26,24,0,50,25,1,0,0,0,0,443,39,89,49,483,24,2,1,494,1,16,6,11,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,79,66,13,2,0,10,2,7,0,0,0,0,37,10,32,4,59,4,11,0,56,0,0,1,2,Matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,452,446,6,6,1,109,13,4,0,0,0,0,227,72,153,47,291,77,0,3,308,3,16,6,15,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,633,592,41,37,0,89,18,4,0,0,0,0,390,80,163,142,398,66,4,2,501,3,11,8,7,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,685,441,244,100,0,40,41,0,0,0,0,0,133,18,534,487,79,1,0,56,341,2,38,3,2,Matches
