player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,3,53,18,2.7,0.6,0,,0,3,18,0,1.00,1,1,0,0.00,+0.47,0.6,1.0,-0.4,-0.61,-0.29,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,19,"1,618",85,85.6,18.0,18,89,17,1,9,0,1.89,24,15,+9,+0.50,-1.48,24.7,16.6,+8.1,+0.45,-0.09,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,12,275,23,13.9,3.1,3,58,0,9,11,7,0.67,2,4,-2,-0.65,-0.02,2.1,3.1,-1.0,-0.34,+0.14,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,15,938,63,52.1,10.4,10,79,3,5,29,1,2.53,19,4,+15,+1.44,-0.13,12.1,8.1,+3.9,+0.38,-0.39,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,3,259,86,12.5,2.9,3,86,1,0,,12,0.33,2,6,-4,-1.39,-1.34,3.7,5.5,-1.8,-0.62,-1.00,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,9,305,34,16.1,3.4,4,66,0,5,8,0,0.89,6,7,-1,-0.30,+0.33,2.8,3.6,-0.8,-0.33,+0.74,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,10,826,83,41.7,9.2,9,88,7,1,34,0,2.40,18,6,+12,+1.31,+0.68,14.9,8.2,+6.7,+0.73,+0.25,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,16,976,61,49.3,10.8,10,80,4,6,29,1,1.25,12,21,-9,-0.83,-0.92,10.4,20.0,-9.5,-0.88,-1.31,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,19,"1,575",83,79.5,17.5,17,89,16,2,34,0,2.21,33,11,+22,+1.26,+1.70,30.3,15.2,+15.1,+0.86,+1.35,Matches
Luis Castillo,es ESP,GK,Elche,21-013,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
