player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,3,19,8,42.1,0.87,0.37,0.16,0.38,16.4,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,2,23,8,34.8,2.31,0.80,0.09,0.25,18.0,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,0,6,2,33.3,0.53,0.18,0.00,0.00,17.0,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,1,12,1,8.3,1.40,0.12,0.08,1.00,17.0,0,0,0,1.6,1.6,0.14,-0.6,-0.6,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,0,1,0,0.0,5.00,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,1,8,4,50.0,0.57,0.29,0.13,0.25,11.2,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,6.3,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,0,9,2,22.2,0.65,0.14,0.00,0.00,22.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,1,1,0,0.0,0.05,0.00,0.00,,31.0,0,1,1,0.8,0.1,0.07,+0.2,-0.1,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,0,1,0,0.0,0.27,0.00,0.00,,9.2,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,1,5,2,40.0,0.29,0.12,0.20,0.50,9.1,0,0,0,1.1,1.1,0.22,-0.1,-0.1,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,1,2,2,100.0,0.18,0.18,0.50,0.50,8.1,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,0,9,0,0.0,0.47,0.00,0.00,,27.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,0,4,0,0.0,0.34,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,1,3,2,66.7,0.58,0.38,0.33,0.50,7.9,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,0,5,0,0.0,0.29,0.00,0.00,,23.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,13,43,19,44.2,2.91,1.29,0.30,0.68,11.2,0,0,0,8.4,8.4,0.20,+4.6,+4.6,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,1,15,4,26.7,2.56,0.68,0.07,0.25,9.1,0,0,1,2.7,1.9,0.13,-1.7,-0.9,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,0,2,0,0.0,0.68,0.00,0.00,,23.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,1,3,1,33.3,0.94,0.31,0.33,1.00,19.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,0,4,2,50.0,0.23,0.12,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,0,1,0,0.0,0.39,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,7.7,0,9,3,33.3,1.17,0.39,0.00,0.00,17.7,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,9.8,0,4,0,0.0,0.41,0.00,0.00,,8.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Edu Expósito,es ESP,MF,Eibar,24-196,1996,18.7,0,22,5,22.7,1.18,0.27,0.00,0.00,25.2,0,0,2,2.3,0.8,0.04,-2.3,-0.8,Matches
Fali,es ESP,"DF,MF",Cádiz,27-185,1993,16.1,0,5,1,20.0,0.31,0.06,0.00,0.00,11.4,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
