player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,8.2,12,8,1,7,4,2,6,33.3,4,198,62,31.3,18,80,100,9,1,0,8,1,13,7,0,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,10.4,7,7,4,3,0,2,5,40.0,3,44,21,47.7,20,21,3,12,5,0,7,7,14,70,1,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,14.4,35,20,8,21,6,14,34,41.2,20,248,81,32.7,61,134,53,24,1,0,23,14,49,16,1,Matches
Erick Cabaco,uy URU,DF,Getafe,25-300,1995,11.0,21,16,14,6,1,8,12,66.7,4,110,43,39.1,49,55,6,14,6,0,8,10,31,73,0,Matches
Cala,es ESP,DF,Cádiz,31-079,1989,17.1,26,21,21,5,0,10,25,40.0,15,145,57,39.3,98,42,5,18,3,0,15,19,45,88,0,Matches
Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,11.2,11,5,2,4,5,3,13,23.1,10,169,40,23.7,12,70,87,15,5,0,10,4,15,10,0,Matches
Dani Calvo,es ESP,DF,Elche,26-318,1994,4.8,9,5,8,1,0,4,8,50.0,4,42,14,33.3,25,17,0,8,5,0,3,5,14,27,0,Matches
José Campaña,es ESP,MF,Levante,27-258,1993,8.3,12,8,4,4,4,4,11,36.4,7,114,31,27.2,33,54,27,10,0,0,10,8,20,5,0,Matches
Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,13.8,12,8,4,7,1,3,13,23.1,10,137,47,34.3,35,68,34,12,0,0,12,6,18,3,0,Matches
Ander Capa,es ESP,DF,Athletic Club,29-005,1992,18.5,30,17,15,12,3,10,29,34.5,19,214,71,33.2,93,76,45,42,7,0,35,18,48,44,0,Matches
Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,3.5,2,1,1,1,0,1,5,20.0,4,49,11,22.4,20,23,6,8,1,0,7,1,3,11,0,Matches
Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,16.0,38,19,19,14,5,18,37,48.6,19,226,71,31.4,117,81,28,56,8,0,48,23,61,53,0,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,0.6,0,0,0,0,0,0,1,0.0,1,9,2,22.2,1,4,4,1,0,0,1,0,0,0,0,Matches
Diego Carlos,br BRA,DF,Sevilla,27-335,1993,18.0,13,11,12,1,0,6,12,50.0,6,93,35,37.6,50,38,5,27,15,1,12,10,23,72,1,Matches
Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,3.1,5,3,3,2,0,0,10,0.0,10,95,22,23.2,17,51,27,7,0,0,7,3,8,2,0,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,10.4,17,12,8,5,4,10,21,47.6,11,147,45,30.6,57,44,46,24,0,0,24,12,29,8,1,Matches
Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,2.9,5,2,2,3,0,3,4,75.0,1,39,15,38.5,17,19,3,7,0,0,7,1,6,6,0,Matches
Guido Carrillo,ar ARG,FW,Elche,29-264,1991,3.4,1,2,0,1,0,0,0,,0,43,9,20.9,3,24,16,1,0,0,1,2,3,2,0,Matches
Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,9.2,29,18,14,11,4,14,21,66.7,7,133,50,37.6,56,48,29,30,1,0,29,14,43,14,1,Matches
William Carvalho,pt POR,MF,Betis,28-312,1992,10.8,21,15,8,11,2,2,13,15.4,11,120,39,32.5,31,70,19,8,2,0,6,8,29,16,1,Matches
Casemiro,br BRA,MF,Real Madrid,28-356,1992,17.5,53,34,29,20,4,15,38,39.5,23,273,106,38.8,113,127,33,41,12,0,29,35,88,48,0,Matches
Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3.0,2,2,2,0,0,2,2,100.0,0,17,5,29.4,8,9,0,0,0,0,0,2,4,31,0,Matches
Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,5,2,4,1,0,2,5,40.0,3,21,4,19.0,10,11,0,3,1,0,2,2,7,15,0,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,17,12,5,7,5,5,18,27.8,13,148,34,23.0,40,62,46,15,1,0,14,5,22,12,0,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,12,5,2,7,3,4,15,26.7,11,97,17,17.5,20,38,39,5,0,0,5,3,15,2,0,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,8,6,5,3,0,4,7,57.1,3,44,12,27.3,32,12,0,2,0,0,2,2,10,9,1,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,46,33,25,17,4,16,28,57.1,12,255,88,34.5,104,113,38,36,2,0,34,23,69,54,0,Matches
