player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,2,0,0,19,13,7,16,7,13,0,0,0,79,7,26,21.2,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,2,0,0,3,9,0,14,10,9,1,0,0,92,29,18,61.7,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,4,1,1,19,21,0,25,13,18,0,0,0,112,14,12,53.8,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,1,0,0,7,3,5,2,0,0,1,0,0,3,9,15,37.5,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,0,0,0,6,5,0,4,4,0,0,0,0,13,3,2,60.0,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,0,0,0,1,2,0,0,0,0,0,1,0,93,0,0,,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,7.3,0,0,0,9,13,1,10,4,6,0,0,0,39,3,9,25.0,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,14.8,2,0,0,7,3,1,25,5,14,0,0,0,119,15,16,48.4,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Cucho,co COL,"FW,MF",Getafe,21-299,1999,12.8,3,0,0,21,24,9,25,4,9,0,0,0,82,28,54,34.1,Matches
Marc Cucurella,es ESP,MF,Getafe,22-206,1998,21.8,4,0,0,30,35,5,53,35,38,0,0,0,176,39,70,35.8,Matches
Patrick Cutrone,it ITA,FW,Valencia,23-041,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,23-274,1997,10.0,1,0,0,9,15,3,31,8,4,0,0,0,43,2,5,28.6,Matches
Sergiño Dest,us USA,DF,Barcelona,20-102,2000,11.3,1,0,0,10,2,0,26,6,12,0,0,0,83,3,5,37.5,Matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,3,0,0,14,17,9,12,9,6,0,0,0,68,50,39,56.2,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,1,0,0,14,4,3,1,1,7,0,0,0,106,26,11,70.3,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,0,0,0,2,0,0,7,3,2,0,0,0,15,5,4,55.6,Matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,6,2,1,21,8,0,4,21,19,0,0,0,187,46,41,52.9,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,7,2,1,27,21,0,4,25,19,1,2,0,237,35,20,63.6,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,0,0,0,1,3,0,0,0,1,0,0,0,123,0,0,,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,1,0,0,0,1,0,0,0,0,0,0,0,106,0,0,,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
