player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Chema,es ESP,"DF,MF",Getafe,28-347,1992,3.1,47,78,60.3,1191,459,10,15,66.7,22,34,64.7,14,28,50.0,0,0.1,-0.1,1,10,0,0,8,Matches
Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,9.0,155,247,62.8,2775,909,76,92,82.6,60,98,61.2,18,38,47.4,2,1.7,+0.3,11,18,10,3,27,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,7.9,206,273,75.5,3440,865,93,115,80.9,92,117,78.6,14,27,51.9,2,1.0,+1.0,12,11,12,3,25,Matches
Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,0.1,5,5,100.0,87,32,1,1,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Cifu,es ESP,DF,Elche,30-131,1990,3.5,84,109,77.1,1384,475,43,50,86.0,32,37,86.5,8,12,66.7,0,0.0,0.0,0,6,0,0,5,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2.0,31,69,44.9,1673,1368,1,1,100.0,3,3,100.0,27,65,41.5,0,0.0,0.0,1,1,0,0,0,Matches
Carlos Clerc,es ESP,DF,Levante,28-358,1992,19.1,840,1072,78.4,14983,6116,423,471,89.8,325,391,83.1,82,170,48.2,2,2.5,-0.5,15,59,25,10,91,Matches
Coke,es ESP,DF,Levante,33-293,1987,3.6,123,160,76.9,2360,814,49,57,86.0,56,67,83.6,18,28,64.3,0,0.0,0.0,0,6,2,0,10,Matches
Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,5.5,306,347,88.2,5219,1112,156,174,89.7,123,134,91.8,23,30,76.7,0,0.3,-0.3,2,21,3,0,16,Matches
Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,0.3,8,13,61.5,152,55,3,5,60.0,2,2,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,1,Matches
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,1.1,17,36,47.2,220,97,9,17,52.9,6,10,60.0,0,6,0.0,0,0.0,0.0,0,0,1,0,2,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,12.4,334,428,78.0,4610,959,199,235,84.7,97,121,80.2,16,41,39.0,6,2.7,+3.3,16,15,14,0,28,Matches
Rober Correa,es ESP,DF,Eibar,28-146,1992,7.5,209,326,64.1,3916,1459,91,117,77.8,85,131,64.9,30,66,45.5,0,0.1,-0.1,2,18,4,3,15,Matches
Thierry Correia,pt POR,DF,Valencia,21-341,1999,11.2,460,618,74.4,9083,3459,179,201,89.1,203,264,76.9,70,123,56.9,0,0.6,-0.6,10,26,13,8,29,Matches
Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,2.3,56,73,76.7,801,77,39,48,81.3,11,15,73.3,4,4,100.0,0,0.3,-0.3,4,1,4,0,4,Matches
Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,2.1,104,124,83.9,1802,550,53,58,91.4,44,51,86.3,7,13,53.8,1,0.2,+0.8,3,6,4,1,3,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22.0,621,767,81.0,16640,8477,90,91,98.9,357,358,99.7,170,313,54.3,0,0.0,0.0,0,7,1,0,0,Matches
