,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
14,Vanja Milinković-Savić,rs SRB,GK,Torino,23-359,1997,2,2,180,2.0,4,2.0,10,7,70.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches
15,Antonio Mirante,it ITA,GK,Roma,37-220,1983,11,11,973,10.8,16,1.48,39,24,64.1,5,3,3,4,36.4,3,2,1,0,33.3,Matches
16,Lorenzo Montipò,it ITA,GK,Benevento,24-359,1996,22,22,"1,980",22.0,42,1.91,96,59,59.4,6,6,10,5,22.7,3,3,0,0,0.0,Matches
17,Juan Musso,ar ARG,GK,Udinese,26-283,1994,19,19,"1,710",19.0,23,1.21,69,49,71.0,5,6,8,6,31.6,3,3,0,0,0.0,Matches
18,David Ospina,co COL,GK,Napoli,32-166,1988,12,12,"1,080",12.0,11,0.92,23,15,65.2,7,0,5,5,41.7,3,3,0,0,0.0,Matches
19,Alberto Paleari,it ITA,GK,Genoa,28-168,1992,2,1,116,1.3,3,2.33,8,4,62.5,0,0,1,0,0.0,0,0,0,0,,Matches
20,Gianluca Pegolo,it ITA,GK,Sassuolo,39-325,1981,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
21,Mattia Perin,it ITA,GK,Genoa,28-095,1992,18,18,"1,619",18.0,22,1.22,77,57,76.6,6,5,7,5,27.8,4,4,0,0,0.0,Matches
22,Ivan Provedel,it ITA,GK,Spezia,26-333,1994,18,18,"1,620",18.0,31,1.72,72,46,63.9,4,6,8,3,16.7,6,5,1,0,16.7,Matches
23,Rafael,br BRA,GK,Spezia,38-347,1982,2,1,117,1.3,3,2.31,9,6,66.7,0,0,1,1,100.0,0,0,0,0,,Matches
24,Federico Ravaglia,it ITA,GK,Bologna,21-094,1999,1,1,90,1.0,5,5.0,7,3,28.6,0,0,1,0,0.0,0,0,0,0,,Matches
25,Pepe Reina,es ESP,GK,Lazio,38-166,1982,15,15,"1,350",15.0,15,1.0,55,42,76.4,10,3,2,5,33.3,2,2,0,0,0.0,Matches
26,Luigi Sepe,it ITA,GK,Parma,29-281,1991,21,21,"1,890",21.0,41,1.95,106,66,62.3,2,7,12,4,19.0,1,1,0,0,0.0,Matches
27,Marco Silvestri,it ITA,GK,Hellas Verona,29-348,1991,21,21,"1,890",21.0,23,1.1,83,62,74.7,8,6,7,5,23.8,3,2,0,1,0.0,Matches
28,Salvatore Sirigu,it ITA,GK,Torino,34-032,1987,19,19,"1,710",19.0,37,1.95,69,37,52.2,2,9,8,3,15.8,4,4,0,0,0.0,Matches
29,Łukasz Skorupski,pl POL,GK,Bologna,29-284,1991,15,15,"1,350",15.0,22,1.47,76,57,73.7,6,1,8,3,20.0,3,2,1,0,33.3,Matches
30,Marco Sportiello,it ITA,GK,Atalanta,28-279,1992,8,7,655,7.3,15,2.06,33,18,54.5,4,1,2,0,0.0,1,0,1,0,100.0,Matches
31,Thomas Strakosha,al ALB,GK,Lazio,25-331,1995,6,6,540,6.0,12,2.0,27,16,59.3,2,1,3,1,16.7,1,1,0,0,0.0,Matches
32,Wojciech Szczęsny,pl POL,GK,Juventus,30-301,1990,16,16,"1,440",16.0,16,1.0,53,39,71.7,9,5,2,4,25.0,1,1,0,0,0.0,Matches
33,Ciprian Tătărușanu,ro ROU,GK,Milan,35-004,1986,1,1,90,1.0,3,3.0,6,4,66.7,0,1,0,0,0.0,1,1,0,0,0.0,Matches
34,Jeroen Zoet,nl NED,GK,Spezia,30-038,1991,2,2,153,1.7,4,2.35,5,2,40.0,1,0,1,1,50.0,1,1,0,0,0.0,Matches
0,Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4,4,360,4.0,8,2.0,20,12,60.0,0,2,2,1,25.0,1,0,0,1,,Matches
1,Walter Benítez,ar ARG,GK,Nice,27-331,1993,23,23,"2,070",23.0,31,1.35,104,77,76.0,8,5,10,7,30.4,6,6,0,0,0.0,Matches
2,Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24,24,"2,160",24.0,37,1.54,90,56,62.2,10,4,10,5,20.8,4,3,1,0,25.0,Matches
3,Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,6,4,475,5.3,8,1.52,21,13,66.7,2,1,1,2,50.0,1,1,0,0,0.0,Matches
4,Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
5,Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,2,1,91,1.0,1,0.99,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches
6,Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
