player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,330,402,82.1,5397,898,179,199,89.9,104,128,81.3,36,48,75.0,2,0.9,+1.1,16,22,10,0,25,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,249,287,86.8,6303,3350,59,59,100.0,113,114,99.1,71,108,65.7,0,0.0,0.0,0,1,0,0,0,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,20,27,74.1,304,85,12,14,85.7,7,9,77.8,1,3,33.3,0,0.0,0.0,1,1,0,0,1,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,63,82,76.8,1169,322,32,37,86.5,20,25,80.0,9,12,75.0,0,0.1,-0.1,2,10,3,1,9,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,447,594,75.3,12568,8206,125,125,100.0,144,145,99.3,173,316,54.7,0,0.2,-0.2,1,1,0,0,0,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,372,462,80.5,7974,2903,125,142,88.0,179,204,87.7,64,107,59.8,0,0.2,-0.2,2,33,4,1,32,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,556,665,83.6,12394,4083,163,188,86.7,273,297,91.9,116,169,68.6,2,0.6,+1.4,7,48,9,1,46,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,11,16,68.8,180,73,5,5,100.0,6,9,66.7,0,1,0.0,0,0.2,-0.2,1,2,1,1,2,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,815,956,85.3,16504,4827,281,309,90.9,401,441,90.9,125,184,67.9,5,3.8,+1.2,26,44,19,3,78,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,274,334,82.0,5383,1982,80,91,87.9,162,175,92.6,30,61,49.2,0,0.0,0.0,0,14,0,0,18,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,44,56,78.6,537,60,30,32,93.8,10,15,66.7,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,229,274,83.6,4671,858,83,90,92.2,112,121,92.6,33,58,56.9,0,0.2,-0.2,4,16,3,0,14,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,288,385,74.8,4747,1871,132,148,89.2,128,167,76.6,19,50,38.0,0,0.1,-0.1,3,15,5,2,18,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,242,273,88.6,4451,1359,101,112,90.2,108,116,93.1,28,36,77.8,0,0.1,-0.1,1,20,2,1,19,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,232,312,74.4,4013,1167,109,134,81.3,89,118,75.4,27,43,62.8,0,0.2,-0.2,6,23,7,1,37,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,186,231,80.5,3566,1217,75,83,90.4,88,107,82.2,20,33,60.6,0,0.0,0.0,1,9,1,0,19,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,329,466,70.6,5237,1646,174,212,82.1,105,151,69.5,30,61,49.2,4,1.6,+2.4,18,25,9,2,39,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,1336,1495,89.4,26615,8434,463,498,93.0,688,741,92.8,177,234,75.6,3,1.5,+1.5,13,139,17,5,97,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,25,39,64.1,441,160,9,13,69.2,11,16,68.8,3,5,60.0,0,0.1,-0.1,1,1,0,0,2,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,78,100,78.0,1411,453,30,32,93.8,43,50,86.0,5,13,38.5,0,0.0,0.0,1,4,0,0,8,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,229,291,78.7,3932,1447,104,121,86.0,97,113,85.8,22,40,55.0,2,1.2,+0.8,9,12,10,7,22,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,434,519,83.6,7895,2711,186,207,89.9,192,224,85.7,48,74,64.9,0,0.0,0.0,2,22,3,0,26,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,266,306,86.9,5550,1454,75,82,91.5,141,151,93.4,47,68,69.1,0,0.0,0.0,0,4,1,0,11,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,834,1140,73.2,18730,6088,267,323,82.7,361,449,80.4,194,327,59.3,1,6.5,-5.5,53,111,51,11,147,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,9,12,75.0,183,15,3,4,75.0,4,4,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,602,782,77.0,11684,5296,236,269,87.7,288,352,81.8,74,140,52.9,0,0.2,-0.2,5,53,13,4,56,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,181,214,84.6,2620,458,109,121,90.1,53,65,81.5,11,14,78.6,2,0.9,+1.1,14,10,7,1,16,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,13,15,86.7,205,51,8,8,100.0,3,3,100.0,2,4,50.0,0,0.0,0.0,0,1,0,0,0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,128,166,77.1,2551,565,53,61,86.9,52,60,86.7,20,35,57.1,0,0.4,-0.4,8,9,1,1,10,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,4,7,57.1,51,15,2,3,66.7,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,103,134,76.9,2061,559,39,50,78.0,44,48,91.7,17,31,54.8,0,0.0,0.0,0,4,0,0,4,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,394,419,94.0,7688,2145,122,134,91.0,231,236,97.9,39,45,86.7,1,0.1,+0.9,1,12,0,0,10,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,599,665,90.1,11027,2070,254,264,96.2,253,279,90.7,76,93,81.7,2,0.6,+1.4,6,56,4,0,33,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,64,79,81.0,1442,496,17,22,77.3,35,36,97.2,12,16,75.0,0,0.0,0.0,0,7,1,0,8,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,80,115,69.6,1527,926,28,32,87.5,44,55,80.0,8,25,32.0,0,0.0,0.0,0,5,2,1,8,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,86,103,83.5,1246,546,59,65,90.8,23,28,82.1,3,7,42.9,0,0.1,-0.1,2,5,1,0,12,Matches
