player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,2,1.91,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,4,1.33,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,3,9.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,19,1.48,15,0,1,2,1,0,1,0.08,0,0,0,0,1,0,0,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,47,4.27,29,2,7,2,7,0,7,0.64,3,1,2,0,1,0,0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,3,6.43,2,1,0,0,0,0,1,2.14,1,0,0,0,0,0,0,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,6,2.93,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,7,0.70,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,17,1.62,13,0,0,3,0,1,3,0.29,3,0,0,0,0,0,0,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,45,3.49,25,12,6,1,1,0,9,0.70,7,1,0,0,1,0,0,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,2,0.37,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,12,2.78,8,3,0,0,1,0,1,0.23,1,0,0,0,0,0,0,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,14,1.87,12,1,0,0,1,0,2,0.27,2,0,0,0,0,0,0,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,3,0.66,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,33,2.72,24,4,3,1,0,1,9,0.74,5,1,3,0,0,0,0,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,30,1.62,28,0,1,1,0,0,4,0.22,4,0,0,0,0,0,0,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,17,2.67,15,1,0,0,1,0,3,0.47,2,0,0,0,1,0,0,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,7,0.54,3,0,1,2,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,99,4.99,57,21,7,5,7,2,7,0.35,5,0,0,2,0,0,0,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,11,0.77,8,1,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,24,3.32,20,1,1,1,1,0,3,0.42,2,0,0,0,1,0,0,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,10,2.50,7,3,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,4,0.64,2,0,0,2,0,0,1,0.16,0,0,0,1,0,0,0,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,15,1.80,12,0,1,0,0,2,1,0.12,1,0,0,0,0,0,0,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,2,1.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,4,1.88,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
