player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,1,13,13,0.7,0.1,0,,0,1,13,2,1.00,0,0,0,0.00,-0.14,0.0,0.3,-0.2,-1.65,-1.44,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,14,620,44,32.8,6.9,6,87,4,8,13,3,0.79,9,15,-6,-0.87,-0.66,10.4,12.8,-2.4,-0.35,-0.30,Matches
Mirko Antonucci,it ITA,MF,Roma,21-339,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Valentin Antov,bg BUL,DF,Bologna,20-096,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Simone Aresti,it ITA,GK,Cagliari,34-335,1986,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
Nicolò Armini,it ITA,DF,Lazio,19-343,2001,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
Alex Arnofoli,it ITA,DF,Bologna,17-358,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,17,"1,040",61,55.0,11.6,15,66,2,2,23,2,1.18,11,11,0,0.00,+0.53,15.8,10.0,+5.9,+0.51,+0.44,Matches
Gabriele Artistico,it ITA,FW,Parma,18-214,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,32-066,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Raúl Asencio,es ESP,FW,Genoa,22-269,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,3,44,15,2.3,0.5,0,,0,3,15,16,3.00,1,1,0,0.00,+0.05,0.7,1.3,-0.6,-1.17,-0.76,Matches
