player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,0,0,0,3,1,1,1,1,7,0,0,0,29,0,8,0.0,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,1,0,0,2,4,0,0,0,0,0,1,0,83,0,0,,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,1,0,0,14,13,0,9,15,15,0,0,0,91,12,15,44.4,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,4,0,0,14,2,1,4,9,13,0,0,1,92,19,10,65.5,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,0,0,0,2,1,0,2,0,1,0,0,0,3,0,0,,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,3,1,0,15,29,1,31,13,17,1,0,0,87,10,13,43.5,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,3,0,0,10,3,0,0,9,11,0,0,0,70,12,6,66.7,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,0,0,0,8,3,0,2,0,2,0,0,0,11,4,9,30.8,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,2,0,0,6,7,0,3,3,6,0,0,0,35,3,2,60.0,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,2,0,0,7,1,0,12,6,5,0,0,0,60,7,16,30.4,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,2,0,0,9,9,0,3,3,9,0,0,0,33,9,6,60.0,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,4,0,0,14,14,1,6,11,5,0,0,0,85,39,14,73.6,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,2,0,0,9,3,1,4,8,6,0,0,0,36,12,3,80.0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,2,0,0,19,17,2,20,18,16,0,1,0,90,14,24,36.8,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,4,0,0,11,11,1,12,24,20,0,0,0,169,23,11,67.6,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,1,0,0,1,0,0,0,1,0,0,0,0,12,2,0,100.0,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,1,0,0,3,3,0,0,3,3,0,0,0,11,2,2,50.0,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,1,0,0,8,11,0,18,8,9,1,0,0,53,13,6,68.4,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,3,0,0,18,3,1,5,15,19,0,0,0,151,35,27,56.5,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,1,0,0,9,3,2,1,7,11,0,0,0,90,19,17,52.8,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,2,1,1,21,65,1,64,11,18,0,0,0,150,4,9,30.8,Matches
