player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,0,2,1,50.0,0.62,0.31,0.00,0.00,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,0,7,0,0.0,0.63,0.00,0.00,,8.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,0,5,0,0.0,0.79,0.00,0.00,,8.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,0,6,1,16.7,3.88,0.65,0.00,0.00,8.4,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,1,8,2,25.0,0.57,0.14,0.13,0.50,9.0,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,0,1,0,0.0,0.17,0.00,0.00,,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,5,21,11,52.4,1.81,0.95,0.24,0.45,17.5,0,0,0,2.7,2.7,0.13,+2.3,+2.3,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,1,9,1,11.1,3.38,0.37,0.11,1.00,17.7,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,2,9,2,22.2,0.78,0.17,0.22,1.00,15.0,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,0,9,0,0.0,1.78,0.00,0.00,,24.9,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,1,16,7,43.8,2.38,1.04,0.06,0.14,14.4,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,1,7,2,28.6,0.47,0.14,0.14,0.50,7.7,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,0,3,1,33.3,2.87,0.96,0.00,0.00,13.0,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,14.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,0,16,5,31.3,1.25,0.39,0.00,0.00,12.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,2,23,9,39.1,2.09,0.82,0.09,0.22,13.5,0,0,0,2.9,2.9,0.12,-0.9,-0.9,Matches
