player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,111,105,6,6,0,11,6,0,0,0,0,0,82,13,16,23,77,8,0,0,97,0,1,1,0,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,350,333,17,12,0,21,7,0,0,0,0,0,248,32,70,59,265,13,4,3,307,0,4,3,4,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,53,49,4,0,0,16,0,2,0,0,0,0,26,20,7,6,31,7,0,2,36,0,1,0,5,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,784,733,51,46,0,67,43,2,0,0,0,0,595,70,119,630,82,45,5,1,686,1,18,10,5,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,409,385,24,17,0,18,7,1,0,0,0,0,313,46,50,290,97,8,4,3,371,4,2,3,1,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,369,358,11,2,3,40,9,33,0,0,0,0,257,58,54,76,271,11,9,0,287,0,2,11,15,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,118,96,22,4,0,11,7,9,0,0,0,0,59,29,30,16,78,4,18,1,91,0,1,1,6,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,852,836,16,15,0,69,9,1,0,0,0,0,729,61,62,70,734,19,1,3,787,0,2,6,5,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,357,317,40,28,0,45,7,1,11,5,2,0,238,45,74,50,295,6,1,1,300,3,3,3,5,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,11,11,0,0,0,1,0,0,0,0,0,0,10,0,1,0,11,0,0,0,10,0,0,0,1,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,205,202,3,0,1,54,2,7,0,0,0,0,152,35,18,23,165,13,0,2,147,1,5,5,15,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,610,588,22,21,0,63,18,4,0,0,0,0,370,73,167,411,136,38,1,2,484,2,11,10,6,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,14,14,0,0,0,7,0,1,0,0,0,0,9,1,4,7,4,2,0,0,8,0,1,0,3,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,738,539,199,55,1,41,10,0,0,0,0,0,433,35,270,38,598,1,0,83,588,3,10,5,2,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,164,131,33,3,1,8,2,4,0,0,0,0,90,40,34,9,115,8,30,0,139,0,2,2,5,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,25,22,3,1,1,1,0,1,0,0,0,0,20,2,3,1,21,1,2,0,21,0,0,1,0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,848,628,220,61,0,97,13,0,0,0,0,0,511,39,298,94,624,1,0,105,662,0,11,4,3,Matches
