player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,649,11,106,298,294,46,622,40,63,63.5,42,1,467,2094,1190,68,20,10,22,26,597,435,72.9,79,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,1637,101,570,971,199,12,1527,10,10,100.0,10,1,1130,5363,3055,117,27,1,9,6,1234,1214,98.4,10,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,47,4,12,30,5,0,47,0,0,,0,0,27,93,16,1,0,0,3,0,32,30,93.8,1,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,127,9,50,60,22,0,108,1,2,50.0,1,0,66,220,96,3,0,0,1,1,78,71,91.0,8,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,347,24,109,124,132,12,291,0,3,0.0,0,0,180,872,556,25,12,2,2,2,211,181,85.8,19,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,660,104,342,285,71,12,630,4,4,100.0,4,0,335,1790,966,23,10,0,4,3,346,330,95.4,9,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,376,46,197,191,10,4,360,2,2,100.0,2,0,193,1190,536,8,2,0,1,0,206,196,95.1,3,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,1409,13,228,747,608,37,1279,55,80,68.8,56,0,1075,7778,4719,194,89,9,40,36,1154,1024,88.7,81,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,15,0,5,4,7,3,15,0,0,,0,0,10,50,20,1,0,1,0,0,14,13,92.9,4,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,915,46,314,446,207,20,779,1,3,33.3,2,0,487,2478,1114,30,13,0,2,10,592,543,91.7,19,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,279,4,25,139,138,27,269,3,9,33.3,4,0,189,1172,522,31,12,2,8,13,284,198,69.7,48,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,20,2,3,12,6,0,20,0,0,,0,0,17,92,35,1,0,0,1,1,15,15,100.0,2,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,199,8,39,114,55,6,188,1,2,50.0,1,0,124,599,193,9,3,1,2,4,160,134,83.8,11,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,9,0,7,3,0,0,8,0,0,,0,0,4,5,0,0,0,0,0,1,10,6,60.0,0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,160,24,74,78,17,2,139,0,0,,0,0,73,481,298,5,1,0,2,2,85,81,95.3,1,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,472,70,266,206,22,8,458,2,2,100.0,2,0,291,1305,517,10,5,0,0,2,352,348,98.9,3,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,750,26,160,493,139,13,736,2,3,66.7,2,0,543,2464,1183,51,17,1,8,11,624,583,93.4,12,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,90,3,39,40,19,0,82,1,1,100.0,1,0,62,229,139,4,3,0,0,0,60,60,100.0,0,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,153,22,68,55,34,3,125,0,4,0.0,0,0,75,309,126,3,0,0,0,0,86,77,89.5,2,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,132,3,24,66,52,5,118,1,1,100.0,1,0,86,326,171,7,3,0,4,5,107,88,82.2,10,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,24,2,3,6,17,1,24,0,1,0.0,0,0,17,94,48,2,1,0,2,0,28,16,57.1,4,Matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,52,15,34,20,0,0,50,0,0,,0,0,28,144,76,1,0,0,0,0,31,30,96.8,0,Matches
Kiril Despodov,bg BUL,FW,Cagliari,24-094,1996,0.1,3,0,0,2,1,0,3,0,1,0.0,0,0,1,0,0,0,0,0,0,0,5,1,20.0,1,Matches
Mattia Destro,it ITA,FW,Genoa,29-330,1991,9.2,266,6,25,145,112,43,255,10,24,41.7,12,2,156,532,240,15,2,2,24,19,373,190,50.9,56,Matches
Gerard Deulofeu,es ESP,FW,Udinese,26-337,1994,5.6,272,3,24,89,175,37,245,9,16,56.3,9,0,214,1367,966,63,9,20,11,8,286,204,71.3,40,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,29-003,1992,0.9,55,0,5,31,21,2,47,1,2,50.0,1,0,29,95,21,2,1,0,0,2,42,35,83.3,6,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32-146,1988,5.6,221,6,14,120,94,32,210,1,1,100.0,1,0,130,603,215,17,4,5,20,12,331,177,53.5,65,Matches
Samuel Di Carmine,it ITA,FW,Crotone,32-146,1988,1.5,46,1,5,30,11,4,41,0,0,,0,0,18,33,5,0,0,0,4,1,70,34,48.6,6,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,27-193,1993,19.0,1583,54,429,825,436,42,1389,14,25,56.0,16,6,1121,5510,3197,139,30,9,11,13,1203,1131,94.0,51,Matches
