player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,46,31,24,20,2,14,31,45.2,17,187,73,39.0,102,80,5,23,7,1,16,19,65,69,1,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,5,4,3,2,0,1,5,20.0,4,46,20,43.5,29,17,0,10,5,0,5,7,12,21,0,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,26,16,11,9,6,11,27,40.7,16,200,57,28.5,74,69,57,18,1,0,17,3,29,10,0,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,4,2,1,2,1,1,5,20.0,4,44,8,18.2,13,19,12,3,1,0,2,1,5,2,0,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,22,11,19,3,0,9,13,69.2,4,122,38,31.1,73,47,2,34,15,0,19,17,39,51,0,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,13,8,5,7,1,9,24,37.5,15,86,28,32.6,29,44,13,8,0,0,8,3,16,4,1,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,0,0,0,0,0,0,0,,0,4,2,50.0,1,3,0,2,0,0,2,1,1,0,0,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,6,3,0,6,0,3,8,37.5,5,105,28,26.7,26,42,37,7,0,0,7,2,8,1,0,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,23,13,12,9,2,4,10,40.0,6,117,42,35.9,69,44,4,20,14,1,6,28,51,73,1,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,2,2,1,1,0,0,2,0.0,2,32,6,18.8,5,20,7,0,0,0,0,1,3,2,0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,0,0,0,0,0,0,1,0.0,1,6,0,0.0,6,0,0,0,0,0,0,0,0,2,0,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,8,5,5,2,1,3,10,30.0,7,37,11,29.7,13,15,9,5,1,0,4,7,15,3,0,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,1,1,1,0,0,0,0,,0,8,4,50.0,5,2,1,1,0,0,1,1,2,1,0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,5,3,0,2,3,1,6,16.7,5,173,47,27.2,11,68,94,5,1,0,4,1,6,20,1,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,7,6,0,5,2,2,10,20.0,8,143,51,35.7,9,74,60,6,0,0,6,5,12,5,0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,1,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,1,0,1,0,0,1,3,33.3,2,8,1,12.5,1,4,3,0,0,0,0,1,2,0,0,Matches
