player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Bertrand Traoré,bf BFA,"FW,MF",Lyon,25-160,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Boubacar Traoré,ml MLI,MF,Metz,19-177,2001,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Charles Traore,ml MLI,DF,Nantes,29-043,1992,12,937,78,43.4,10.4,10,82,7,2,58,5,0.67,8,14,-6,-0.58,+0.23,11.0,14.1,-3.1,-0.30,+0.15,Matches
Hamari Traoré,ml MLI,DF,Rennes,29-017,1992,21,"1,753",83,84.7,19.5,20,86,18,1,32,0,1.62,27,20,+7,+0.36,+0.36,25.6,19.6,+5.9,+0.30,-0.26,Matches
Ismaël Traoré,ci CIV,DF,Angers,34-179,1986,23,"2,070",90,95.8,23.0,23,90,23,0,,1,1.43,29,37,-8,-0.35,-0.35,27.8,29.8,-2.1,-0.09,+0.60,Matches
Miguel Trauco,pe PER,DF,Saint-Étienne,28-172,1992,15,"1,162",77,53.8,12.9,12,88,11,3,35,1,1.00,12,18,-6,-0.46,+0.17,18.4,16.0,+2.4,+0.19,+0.49,Matches
Alexis Trouillet,fr FRA,MF,Nice,20-052,2000,4,64,16,3.1,0.7,0,,0,4,16,15,1.50,1,1,0,0.00,+0.18,2.7,0.6,+2.1,+3.00,+3.32,Matches
Adrien Truffert,fr FRA,"DF,MF",Rennes,19-085,2001,16,"1,091",68,52.7,12.1,12,79,6,4,37,4,1.44,14,12,+2,+0.16,-0.29,16.0,12.7,+3.3,+0.27,-0.16,Matches
Marvin Tshibuabua,fr FRA,DF,Saint-Étienne,19-036,2002,1,43,43,2.0,0.5,0,,0,1,43,5,0.00,0,1,-1,-2.09,-1.58,0.3,0.2,+0.2,+0.34,+0.39,Matches
Matthieu Udol,fr FRA,DF,Metz,24-330,1996,14,"1,082",77,50.1,12.0,12,86,11,2,25,1,1.79,18,10,+8,+0.67,+0.83,13.6,12.2,+1.4,+0.12,+0.31,Matches
Naomichi Ueda,jp JPN,DF,Nîmes,26-112,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Hwang Ui-jo,kr KOR,"FW,MF",Bordeaux,28-169,1992,22,"1,379",63,63.8,15.3,18,71,0,4,26,1,1.32,17,15,+2,+0.13,+0.59,16.6,22.2,-5.6,-0.37,+0.22,Matches
Enzo Valentim,fr FRA,DF,Reims,20-155,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Thibaut Vargas,fr FRA,MF,Montpellier,20-267,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Marco Verratti,it ITA,MF,Paris S-G,28-100,1992,15,"1,131",75,52.4,12.6,13,84,9,2,22,0,2.00,25,7,+18,+1.43,-0.58,26.5,11.2,+15.3,+1.22,+0.07,Matches
Clément Vidal,fr FRA,DF,Montpellier,20-240,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Trey Vimalin,fr FRA,GK,Reims,20-016,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kevin Volland,de GER,"FW,MF",Monaco,28-198,1992,22,"1,649",75,76.3,18.3,21,78,6,1,13,0,2.00,42,26,+16,+0.87,+1.05,32.0,16.8,+15.2,+0.83,+0.21,Matches
