player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Aníbal Chalá,ec ECU,DF,Dijon,24-280,1996,4.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Trevoh Chalobah,eng ENG,"MF,DF",Lorient,21-223,1999,11.6,1,6,2,33.3,0.52,0.17,0.17,0.50,15.2,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,32-048,1988,9.8,4,26,7,26.9,2.65,0.71,0.12,0.43,13.1,0,1,1,4.7,4.0,0.15,-0.7,-1.0,Matches
Brendan Chardonnet,fr FRA,DF,Brest,26-053,1994,16.2,1,13,6,46.2,0.80,0.37,0.08,0.17,9.5,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Xavier Chavalerin,fr FRA,MF,Reims,29-343,1991,15.4,0,13,4,30.8,0.84,0.26,0.00,0.00,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Pape Cheikh Diop,sn SEN,MF,Dijon,23-189,1997,11.3,0,6,0,0.0,0.53,0.00,0.00,,19.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17-180,2003,4.8,0,9,3,33.3,1.88,0.63,0.00,0.00,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Pedro Chirivella,es ESP,MF,Nantes,23-266,1997,12.4,0,5,1,20.0,0.40,0.08,0.00,0.00,19.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Joris Chotard,fr FRA,MF,Montpellier,19-142,2001,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,19.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Mounir Chouiar,fr FRA,"FW,MF",Dijon,22-021,1999,11.6,0,18,5,27.8,1.56,0.43,0.00,0.00,22.1,4,0,1,1.6,0.9,0.05,-1.6,-0.9,Matches
