player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Lilian Brassier,fr FRA,DF,Brest,21-103,1999,2.0,1,0,0,4,2,0,3,2,3,0,0,0,16,6,4,60.0,Matches
Anthony Briançon,fr FRA,DF,Nîmes,26-077,1994,12.0,3,0,0,8,8,0,1,18,7,0,0,0,117,19,19,50.0,Matches
Jimmy Briand,fr FRA,FW,Bordeaux,35-195,1985,5.5,2,0,0,13,12,2,1,1,3,0,0,0,25,20,31,39.2,Matches
Dylan Bronn,tn TUN,DF,Metz,25-239,1995,24.0,2,0,0,26,11,0,3,15,24,0,1,0,206,32,23,58.2,Matches
Lucas Buadés,fr FRA,FW,Nîmes,23-047,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Patrick Burner,fr FRA,DF,Nice,24-308,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Patrick Burner,fr FRA,DF,Nîmes,24-308,1996,10.2,0,0,0,8,9,0,19,12,10,0,0,0,89,6,14,30.0,Matches
Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
Jimmy Cabot,fr FRA,FW,Angers,26-301,1994,8.0,1,0,0,11,8,1,14,11,11,0,0,0,67,1,10,9.1,Matches
Anthony Caci,fr FRA,DF,Strasbourg,23-227,1997,17.5,0,0,0,16,8,0,43,29,34,0,0,0,154,14,27,34.1,Matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,23-325,1997,15.4,2,0,0,21,24,3,38,10,16,0,0,0,107,4,15,21.1,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36-026,1985,15.3,8,0,0,21,15,2,3,19,16,0,0,0,147,25,14,64.1,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24-149,1996,19.9,5,0,0,15,10,1,0,26,10,0,0,0,190,58,13,81.7,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22-228,1998,22.8,3,0,0,30,25,0,15,29,43,0,0,0,199,30,23,56.6,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18-095,2002,15.6,3,0,0,31,34,0,3,9,41,0,0,0,132,15,15,50.0,Matches
Pierrick Capelle,fr FRA,"MF,FW",Angers,33-304,1987,13.4,1,0,0,19,16,3,17,25,16,0,1,0,125,27,32,45.8,Matches
Maxence Caqueret,fr FRA,MF,Lyon,20-364,2000,11.1,1,0,0,15,12,0,6,17,34,0,0,0,95,7,7,50.0,Matches
Irvin Cardona,fr FRA,FW,Brest,23-189,1997,15.6,2,0,0,13,9,13,26,5,3,1,0,0,51,16,20,44.4,Matches
Lionel Carole,fr FRA,DF,Strasbourg,29-307,1991,10.0,1,0,0,11,13,1,26,21,20,0,0,0,98,15,4,78.9,Matches
Moreto Cassamã,gw GNB,MF,Reims,22-363,1998,12.9,7,2,0,16,13,0,4,22,19,0,0,0,141,3,6,33.3,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26-018,1995,10.5,1,0,0,18,5,0,2,14,7,0,2,0,95,27,11,71.1,Matches
Zeki Çelik,tr TUR,DF,Lille,23-362,1997,14.8,4,0,0,34,8,2,18,15,23,0,0,1,107,17,14,54.8,Matches
Bersant Celina,xk KVX,"MF,FW",Dijon,24-157,1996,15.5,3,0,0,9,12,2,29,5,5,0,0,0,89,1,17,5.6,Matches
Fabien Centonze,fr FRA,DF,Metz,25-028,1996,23.0,6,0,0,25,36,1,62,30,36,0,0,0,216,36,16,69.2,Matches
Fouad Chafik,ma MAR,DF,Dijon,34-120,1986,10.9,4,0,0,12,14,0,18,8,19,0,0,0,93,12,11,52.2,Matches
Mehdi Chahiri,ma MAR,"FW,MF",Strasbourg,24-203,1996,8.0,0,0,0,3,8,3,8,9,11,0,0,0,61,11,15,42.3,Matches
Aníbal Chalá,ec ECU,DF,Dijon,24-280,1996,4.4,0,0,0,11,4,0,2,7,3,0,0,0,38,4,4,50.0,Matches
Trevoh Chalobah,eng ENG,"MF,DF",Lorient,21-223,1999,11.6,2,0,0,13,14,0,9,30,16,0,0,0,121,19,14,57.6,Matches
Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,32-048,1988,9.8,2,0,0,15,8,8,8,4,11,0,0,0,43,20,30,40.0,Matches
Brendan Chardonnet,fr FRA,DF,Brest,26-053,1994,16.2,2,1,0,17,17,0,4,19,20,0,0,0,124,33,27,55.0,Matches
Xavier Chavalerin,fr FRA,MF,Reims,29-343,1991,15.4,6,0,0,24,5,0,6,14,31,0,0,0,115,9,9,50.0,Matches
Pape Cheikh Diop,sn SEN,MF,Dijon,23-189,1997,11.3,5,0,0,41,20,0,1,5,17,1,0,0,121,11,13,45.8,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17-180,2003,4.8,1,1,0,7,15,2,6,3,2,1,0,0,26,0,6,0.0,Matches
Pedro Chirivella,es ESP,MF,Nantes,23-266,1997,12.4,2,0,0,16,10,0,2,11,10,0,0,0,117,3,11,21.4,Matches
Joris Chotard,fr FRA,MF,Montpellier,19-142,2001,8.6,2,0,0,6,4,0,5,13,13,0,0,0,64,7,7,50.0,Matches
Mounir Chouiar,fr FRA,"FW,MF",Dijon,22-021,1999,11.6,4,0,0,20,17,3,14,9,14,0,1,0,75,9,14,39.1,Matches
Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22-252,1998,7.8,1,0,0,8,19,0,4,3,6,0,0,0,41,1,7,12.5,Matches
Jonathan Clauss,fr FRA,DF,Lens,28-141,1992,15.2,0,0,0,11,7,0,72,23,17,1,0,0,118,9,18,33.3,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,24-234,1996,12.5,4,0,0,35,26,1,15,11,21,1,0,0,100,28,38,42.4,Matches
Racine Coly,sn SEN,DF,Nice,25-067,1995,0.2,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,,Matches
Daniel Congré,fr FRA,DF,Montpellier,35-314,1985,23.7,4,0,0,20,16,0,3,34,21,0,1,0,216,47,34,58.0,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30-104,1990,14.2,3,0,0,15,31,0,40,13,10,0,0,0,86,19,21,47.5,Matches
Maxwel Cornet,ci CIV,"DF,FW",Lyon,24-139,1996,17.4,5,0,0,21,23,0,46,21,32,2,0,0,162,29,18,61.7,Matches
David Pereira da Costa,pt POR,"MF,DF",Lens,20-039,2001,0.4,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,,Matches
Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24.0,0,0,0,0,3,0,0,0,0,0,0,0,126,0,0,,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29-176,1991,5.2,1,0,0,5,4,6,5,1,1,0,0,0,13,33,33,50.0,Matches
Lassana Coulibaly,ml MLI,MF,Angers,24-309,1996,12.7,3,0,0,18,13,0,4,26,36,0,0,0,141,14,17,45.2,Matches
Senou Coulibaly,ml MLI,DF,Dijon,26-162,1994,8.8,3,1,1,4,5,0,0,12,8,0,0,0,85,24,19,55.8,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,22-036,1999,7.6,1,0,0,4,8,0,6,6,3,0,0,0,57,10,13,43.5,Matches
Adrián Cubas,py PAR,MF,Nîmes,24-267,1996,15.6,5,1,1,21,11,0,2,32,40,0,0,0,184,3,14,17.6,Matches
Mickaël Cuisance,fr FRA,MF,Marseille,21-181,1999,9.0,3,0,0,26,8,1,9,4,15,0,0,0,60,6,25,19.4,Matches
Damien Da Silva,fr FRA,DF,Rennes,32-272,1988,19.0,4,0,0,16,17,0,4,19,10,0,0,0,209,56,19,74.7,Matches
Colin Dagba,fr FRA,DF,Paris S-G,22-157,1998,9.9,3,0,0,17,6,1,20,7,10,0,1,0,71,1,10,9.1,Matches
Flavius Daniliuc,at AUT,DF,Nice,19-292,2001,11.3,0,0,0,8,8,0,2,13,8,0,0,0,104,17,14,54.8,Matches
Dante,br BRA,DF,Nice,37-118,1983,8.6,2,0,0,6,4,0,0,2,7,0,1,0,78,22,8,73.3,Matches
Jonathan David,ca CAN,FW,Lille,21-030,2000,15.4,0,0,0,25,26,5,5,8,7,1,0,0,71,13,47,21.7,Matches
Mattia De Sciglio,it ITA,DF,Lyon,28-116,1992,8.1,2,0,0,12,8,0,17,13,17,0,0,0,82,7,5,58.3,Matches
Thibault De Smet,be BEL,DF,Reims,22-253,1998,4.4,2,0,0,7,6,0,9,4,6,0,1,0,46,7,9,43.8,Matches
Lucas Deaux,fr FRA,"MF,DF",Nîmes,32-049,1988,13.7,4,1,0,20,14,0,14,7,23,0,1,0,156,27,19,58.7,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,35-200,1985,11.9,2,0,0,24,9,3,38,17,16,0,1,0,127,49,11,81.7,Matches
Romain Del Castillo,fr FRA,"MF,FW",Rennes,24-321,1996,5.2,0,0,0,8,10,0,18,3,14,0,0,0,37,5,8,38.5,Matches
Thomas Delaine,fr FRA,DF,Metz,28-326,1992,11.7,3,0,0,16,9,0,46,9,11,0,0,0,80,8,8,50.0,Matches
Jonathan Delaplace,fr FRA,DF,Lorient,34-330,1986,8.4,1,1,0,15,7,1,25,16,9,0,0,0,89,3,9,25.0,Matches
Andy Delort,dz ALG,FW,Montpellier,29-127,1991,17.3,4,0,0,39,32,8,55,3,13,1,0,0,84,70,65,51.9,Matches
Moussa Dembélé,fr FRA,FW,Lyon,24-216,1996,7.5,3,0,0,17,7,7,2,2,3,0,0,0,34,16,26,38.1,Matches
Jason Denayer,be BEL,DF,Lyon,25-230,1995,18.9,0,0,0,17,5,0,1,11,16,0,0,0,159,27,25,51.9,Matches
Kevin Denkey,tg TOG,FW,Nîmes,20-075,2000,5.8,3,0,0,21,9,2,5,2,3,0,0,0,27,6,16,27.3,Matches
Memphis Depay,nl NED,FW,Lyon,27-000,1994,20.1,1,0,0,21,29,2,64,6,5,1,0,0,95,9,16,36.0,Matches
Ángel Di María,ar ARG,"FW,MF",Paris S-G,32-365,1988,15.0,1,0,0,7,18,8,72,5,15,0,0,0,64,0,1,0.0,Matches
Boulaye Dia,sn SEN,"FW,MF",Reims,24-089,1996,19.7,1,0,0,24,21,10,9,9,9,1,0,0,73,20,62,24.4,Matches
Abdou Diallo,fr FRA,DF,Paris S-G,24-285,1996,10.4,2,2,1,9,7,0,0,5,10,0,0,0,91,20,12,62.5,Matches
Habib Diallo,sn SEN,FW,Metz,25-240,1995,1.6,0,0,0,2,2,2,1,0,0,0,0,0,8,10,15,40.0,Matches
Habib Diallo,sn SEN,FW,Strasbourg,25-240,1995,15.5,1,0,0,14,19,3,10,9,10,0,0,0,69,42,63,40.0,Matches
Ibrahima Diallo,fr FRA,MF,Brest,21-342,1999,4.9,1,0,0,8,8,0,3,3,8,0,0,0,44,2,3,40.0,Matches
Stéphane Diarra,fr FRA,"FW,MF",Lorient,22-066,1998,1.9,1,0,0,4,4,3,7,0,1,0,0,0,15,1,2,33.3,Matches
Raphael Dias Belloli,br BRA,"FW,MF",Rennes,24-061,1996,4.5,0,0,0,6,12,0,7,4,2,0,0,0,22,3,9,25.0,Matches
Krepin Diatta,sn SEN,"MF,DF",Monaco,21-354,1999,2.3,2,0,0,2,4,2,3,0,2,0,0,0,23,4,7,36.4,Matches
Tristan Dingomé,cm CMR,MF,Reims,29-362,1991,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,,Matches
Sinaly Diomande,ci CIV,DF,Lyon,19-310,2001,8.5,2,0,0,13,8,0,3,10,8,0,1,0,83,35,11,76.1,Matches
Lois Diony,fr FRA,FW,Angers,28-055,1992,10.2,0,0,0,11,18,1,15,3,8,0,0,0,30,23,35,39.7,Matches
Sofiane Diop,fr FRA,"MF,FW",Monaco,20-249,2000,18.1,3,0,0,25,48,3,22,14,34,0,0,0,173,19,24,44.2,Matches
Yehvann Diouf,fr FRA,GK,Reims,21-089,1999,1.5,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches
Assane Dioussé,sn SEN,DF,Saint-Étienne,23-146,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Axel Disasi,fr FRA,DF,Monaco,22-339,1998,14.1,3,2,0,17,9,1,1,16,11,0,0,0,154,37,18,67.3,Matches
Tiago Djaló,pt POR,DF,Lille,20-310,2000,6.3,2,0,0,10,7,1,6,11,11,0,0,0,50,8,4,66.7,Matches
Alexander Djiku,gh GHA,"DF,MF",Strasbourg,26-188,1994,18.5,6,0,0,33,24,0,3,54,29,0,1,0,159,42,16,72.4,Matches
Mihai Dobre,ro ROU,"FW,MF",Dijon,22-167,1998,3.8,0,0,0,3,5,1,5,7,5,0,0,0,28,8,4,66.7,Matches
Jeremy Doku,be BEL,MF,Rennes,18-262,2002,13.7,0,0,0,19,42,1,38,9,23,0,0,0,80,3,10,23.1,Matches
Kasper Dolberg,dk DEN,FW,Nice,23-130,1997,11.1,2,0,0,10,30,3,2,1,4,0,0,0,31,7,13,35.0,Matches
Keagan Dolly,za RSA,MF,Montpellier,28-022,1993,4.5,1,0,0,3,3,2,4,4,8,0,0,0,28,1,8,11.1,Matches
Anastasios Donis,gr GRE,MF,Reims,24-168,1996,1.1,0,1,0,3,0,3,3,0,0,0,0,0,2,1,0,100.0,Matches
Lucas Douath,fr FRA,MF,Saint-Étienne,17-192,2003,9.1,5,0,0,20,20,0,0,13,18,0,0,0,108,15,11,57.7,Matches
Cheick Doucouré,ml MLI,MF,Lens,21-036,2000,17.5,6,0,0,29,8,0,1,33,32,0,0,0,205,21,12,63.6,Matches
Fodé Doucouré,ml MLI,DF,Reims,20-010,2001,2.5,0,0,0,3,1,0,2,3,1,0,0,0,23,1,2,33.3,Matches
Moussa Doumbia,ml MLI,"MF,FW",Reims,26-182,1994,5.6,0,0,0,6,20,1,10,9,1,0,0,0,52,1,9,10.0,Matches
Souleyman Doumbia,ci CIV,DF,Angers,24-142,1996,17.9,6,0,0,20,11,0,29,30,28,0,0,1,143,18,11,62.1,Matches
Mouhamadou Drammeh,fr FRA,MF,Reims,21-274,1999,1.8,1,0,0,1,2,0,0,2,0,0,0,0,15,2,6,25.0,Matches
Julian Draxler,de GER,MF,Paris S-G,27-146,1993,5.3,3,0,0,4,5,1,13,4,4,0,0,0,31,2,1,66.7,Matches
