,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
97,97,Duje Ćaleta-Car,hr CRO,DF,Marseille,24-149,1996,21,20,1792,19.9,2,1,2,0,0,5,0,0.1,0.05,0.15,0.1,0.15,0.9,0.9,0.6,1.5,0.05,0.03,0.08,0.05,0.08,Matches
98,98,Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22-228,1998,23,23,2050,22.8,3,0,3,0,0,3,0,0.13,0.0,0.13,0.13,0.13,2.6,2.6,0.6,3.2,0.11,0.03,0.14,0.11,0.14,Matches
99,99,Eduardo Camavinga,fr FRA,MF,Rennes,18-095,2002,21,16,1401,15.6,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,1.1,1.1,0.5,1.6,0.07,0.03,0.1,0.07,0.1,Matches
100,100,Pierrick Capelle,fr FRA,"MF,FW",Angers,33-304,1987,21,14,1209,13.4,3,3,3,0,0,1,0,0.22,0.22,0.45,0.22,0.45,3.3,3.3,1.2,4.5,0.25,0.09,0.33,0.25,0.33,Matches
101,101,Maxence Caqueret,fr FRA,MF,Lyon,20-364,2000,18,11,1001,11.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,0.04,0.1,0.13,0.04,0.13,Matches
102,102,Irvin Cardona,fr FRA,FW,Brest,23-189,1997,23,15,1404,15.6,5,1,5,0,0,2,0,0.32,0.06,0.38,0.32,0.38,5.3,5.3,1.6,6.9,0.34,0.1,0.44,0.34,0.44,Matches
103,103,Lionel Carole,fr FRA,DF,Strasbourg,29-307,1991,18,10,898,10.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches
104,104,Moreto Cassamã,gw GNB,MF,Reims,22-363,1998,18,15,1163,12.9,1,0,1,0,0,7,2,0.08,0.0,0.08,0.08,0.08,0.2,0.2,0.5,0.7,0.01,0.04,0.05,0.01,0.05,Matches
105,105,Jean-Charles Castelletto,cm CMR,DF,Nantes,26-018,1995,12,10,947,10.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,0.14,0.01,0.14,0.14,0.14,Matches
106,106,Zeki Çelik,tr TUR,DF,Lille,23-362,1997,17,16,1332,14.8,1,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,0.3,0.3,2.1,2.4,0.02,0.14,0.16,0.02,0.16,Matches
107,107,Bersant Celina,xk KVX,"MF,FW",Dijon,24-157,1996,20,15,1393,15.5,0,4,0,0,0,3,0,0.0,0.26,0.26,0.0,0.26,0.8,0.8,2.4,3.2,0.05,0.15,0.21,0.05,0.21,Matches
