player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Lucas Buadés,fr FRA,FW,Nîmes,23-047,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Patrick Burner,fr FRA,DF,Nice,24-308,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Patrick Burner,fr FRA,DF,Nîmes,24-308,1996,10.2,14,1.37,10,2,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jimmy Cabot,fr FRA,FW,Angers,26-301,1994,8.0,18,2.24,10,1,4,1,1,1,1,0.12,1,0,0,0,0,0,0,Matches
Anthony Caci,fr FRA,DF,Strasbourg,23-227,1997,17.5,21,1.20,16,2,1,1,1,0,2,0.11,2,0,0,0,0,0,0,Matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,23-325,1997,15.4,26,1.69,17,4,2,2,0,1,8,0.52,5,0,0,2,0,1,0,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36-026,1985,15.3,16,1.04,12,1,0,1,0,2,0,0.00,0,0,0,0,0,0,0,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24-149,1996,19.9,8,0.40,6,0,1,1,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22-228,1998,22.8,29,1.27,27,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18-095,2002,15.6,27,1.73,20,0,1,2,4,0,3,0.19,1,0,0,2,0,0,0,Matches
Pierrick Capelle,fr FRA,"MF,FW",Angers,33-304,1987,13.4,28,2.08,21,2,2,1,1,1,3,0.22,2,1,0,0,0,0,0,Matches
Maxence Caqueret,fr FRA,MF,Lyon,20-364,2000,11.1,25,2.25,24,0,0,0,1,0,2,0.18,1,0,0,0,1,0,0,Matches
Irvin Cardona,fr FRA,FW,Brest,23-189,1997,15.6,34,2.18,24,1,3,4,2,0,3,0.19,1,0,1,0,1,0,0,Matches
Lionel Carole,fr FRA,DF,Strasbourg,29-307,1991,10.0,14,1.40,12,2,0,0,0,0,2,0.20,2,0,0,0,0,0,0,Matches
Moreto Cassamã,gw GNB,MF,Reims,22-363,1998,12.9,20,1.55,16,2,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
