player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Sacha Boey,fr FRA,DF,Dijon,20-153,2000,14.0,49,27,32,15,2,21,40,52.5,19,244,89,36.5,117,89,38,37,7,0,30,21,70,42,0,Matches
Quentin Boisgard,fr FRA,"FW,MF",Lorient,23-333,1997,11.8,21,17,4,11,6,6,18,33.3,12,168,49,29.2,24,90,54,20,2,0,18,9,30,1,0,Matches
Sven Botman,nl NED,DF,Lille,21-032,2000,24.0,36,23,18,16,2,8,19,42.1,11,162,57,35.2,98,56,8,30,11,0,19,26,62,120,0,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26-094,1994,19.0,41,26,17,15,9,4,32,12.5,28,384,100,26.0,73,163,148,32,7,0,25,8,49,18,0,Matches
Hicham Boudaoui,dz ALG,"MF,FW",Nice,21-143,1999,10.5,37,24,20,11,6,13,35,37.1,22,234,60,25.6,84,116,34,14,2,0,12,10,47,18,1,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30-360,1990,6.0,10,6,1,7,2,1,5,20.0,4,83,37,44.6,8,37,38,5,0,0,5,6,16,1,0,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27-149,1993,4.2,9,6,4,4,1,7,16,43.8,9,81,27,33.3,28,38,15,11,1,0,10,3,12,0,0,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,27-354,1993,19.6,17,10,7,9,1,4,38,10.5,34,244,64,26.2,39,130,75,17,1,0,16,4,21,6,0,Matches
Ismaëlben Boura,fr FRA,DF,Lens,20-183,2000,6.8,14,10,7,5,2,4,11,36.4,7,78,28,35.9,29,35,14,8,2,0,6,15,29,7,0,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,27-030,1994,17.0,25,17,8,16,1,12,43,27.9,31,292,76,26.0,46,173,73,31,1,0,30,8,33,22,0,Matches
John Boye,gh GHA,DF,Metz,33-296,1987,21.4,30,15,22,7,1,11,35,31.4,24,194,65,33.5,116,71,7,57,19,1,38,24,54,134,1,Matches
Umut Bozok,tr TUR,"FW,MF",Lorient,24-147,1996,0.7,0,0,0,0,0,0,0,,0,11,4,36.4,2,6,3,0,0,0,0,0,0,0,0,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21-065,1999,13.3,31,16,13,12,6,10,24,41.7,14,120,36,30.0,43,57,20,29,5,0,24,18,49,33,0,Matches
Lilian Brassier,fr FRA,DF,Brest,21-103,1999,2.0,5,3,1,3,1,1,1,100.0,0,26,11,42.3,12,7,7,1,0,0,1,2,7,11,0,Matches
Anthony Briançon,fr FRA,DF,Nîmes,26-077,1994,12.0,13,7,10,3,0,6,16,37.5,10,84,37,44.0,62,20,2,22,13,0,9,18,31,72,1,Matches
Jimmy Briand,fr FRA,FW,Bordeaux,35-195,1985,5.5,6,3,2,4,0,0,3,0.0,3,79,21,26.6,17,43,19,1,0,0,1,1,7,3,0,Matches
Dylan Bronn,tn TUN,DF,Metz,25-239,1995,24.0,40,24,30,10,0,14,31,45.2,17,221,82,37.1,133,79,9,25,11,0,14,15,55,105,1,Matches
Lucas Buadés,fr FRA,FW,Nîmes,23-047,1997,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Patrick Burner,fr FRA,DF,Nice,24-308,1996,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Patrick Burner,fr FRA,DF,Nîmes,24-308,1996,10.2,16,10,8,6,2,6,15,40.0,9,86,26,30.2,38,33,15,18,4,0,14,12,28,26,0,Matches
Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
Jimmy Cabot,fr FRA,FW,Angers,26-301,1994,8.0,19,11,7,8,4,4,23,17.4,19,156,41,26.3,51,72,33,13,0,0,13,11,30,4,0,Matches
Anthony Caci,fr FRA,DF,Strasbourg,23-227,1997,17.5,53,34,30,16,7,15,35,42.9,20,231,77,33.3,124,83,24,42,1,0,41,29,82,33,0,Matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,23-325,1997,15.4,32,16,12,16,4,2,28,7.1,26,254,69,27.2,67,134,53,10,0,0,10,10,42,5,0,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36-026,1985,15.3,25,16,13,9,3,10,21,47.6,11,192,70,36.5,61,88,43,23,3,0,20,19,44,29,2,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24-149,1996,19.9,22,10,15,7,0,8,19,42.1,11,136,49,36.0,82,53,1,27,14,0,13,26,48,115,0,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22-228,1998,22.8,72,43,36,31,5,16,35,45.7,19,389,113,29.0,120,208,61,45,8,0,37,29,101,53,1,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18-095,2002,15.6,67,41,26,33,8,12,31,38.7,19,302,95,31.5,81,160,61,20,1,0,19,9,76,9,0,Matches
Pierrick Capelle,fr FRA,"MF,FW",Angers,33-304,1987,13.4,33,16,14,11,8,15,49,30.6,34,311,76,24.4,89,159,63,23,1,0,22,25,58,26,0,Matches
Maxence Caqueret,fr FRA,MF,Lyon,20-364,2000,11.1,46,34,10,27,9,8,48,16.7,40,299,93,31.1,68,159,72,20,1,0,19,17,63,5,0,Matches
